ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
ATVIEUR,ACTIVISION BLIZZARD INC,00507V109,281519000.0,4737788,15.247400128145342,2020-02-14,2019-12-31,0001172661-20-000857
UBER,UBER TECHNOLOGIES INC,90353T100,153555000.0,5163236,8.316719392571578,2020-02-14,2019-12-31,0001172661-20-000857
N/A,NXP SEMICONDUCTORS N V,N6596X109,126973000.0,997744,6.8770070100810194,2020-02-14,2019-12-31,0001172661-20-000857
DOCU,DOCUSIGN INC,256163106,120418000.0,1624861,6.521980500893389,2020-02-14,2019-12-31,0001172661-20-000857
LYV,LIVE NATION ENTERTAINMENT IN,538034109,119712000.0,1675000,6.483742710582714,2020-02-14,2019-12-31,0001172661-20-000857
FSCTEUR,FORESCOUT TECHNOLOGIES INC,34553D101,109719000.0,3345094,5.942510078040838,2020-02-14,2019-12-31,0001172661-20-000857
PYPL,PAYPAL HLDGS INC,70450Y103,105358000.0,974000,5.706313189167115,2020-02-14,2019-12-31,0001172661-20-000857
SPLKCHF,SPLUNK INC,848637104,103641000.0,692000,5.613318449842147,2020-02-14,2019-12-31,0001172661-20-000857
TSM,TAIWAN SEMICONDUCTOR MFG LTD,874039100,94002000.0,1617932,5.091258873631686,2020-02-14,2019-12-31,0001172661-20-000857
SE,SEA LTD,81141R100,77615000.0,1929754,4.2037196812506465,2020-02-14,2019-12-31,0001172661-20-000857
N/A,INTERXION HOLDING N.V,N47279109,75261000.0,898000,4.076224272764349,2020-02-14,2019-12-31,0001172661-20-000857
ZEN1EUR,ZENDESK INC,98936J101,69098000.0,901716,3.7424289445990744,2020-02-14,2019-12-31,0001172661-20-000857
MU,MICRON TECHNOLOGY INC,595112103,64537000.0,1200023,3.4953998205098626,2020-02-14,2019-12-31,0001172661-20-000857
TWTRUSD,TWITTER INC,90184L102,59076000.0,1843235,3.1996256379509527,2020-02-14,2019-12-31,0001172661-20-000857
NEWREUR,NEW RELIC INC,64829B100,39091000.0,594904,2.1172145340432778,2020-02-14,2019-12-31,0001172661-20-000857
NXST,NEXSTAR MEDIA GROUP INC,65336K103,33975000.0,289769,1.8401259572310857,2020-02-14,2019-12-31,0001172661-20-000857
HTHT,HUAZHU GROUP LTD,44332N106,33018000.0,824000,1.788293711724974,2020-02-14,2019-12-31,0001172661-20-000857
AMD,ADVANCED MICRO DEVICES INC,007903107,31877000.0,695100,1.7264958098206127,2020-02-14,2019-12-31,0001172661-20-000857
Z,ZILLOW GROUP INC,98954M200,30713000.0,668544,1.6634522008664707,2020-02-14,2019-12-31,0001172661-20-000857
ERIEUR,ELDORADO RESORTS INC,28470R102,30321000.0,508407,1.6422210198441134,2020-02-14,2019-12-31,0001172661-20-000857
BIDUN,BAIDU INC,056752108,22373000.0,177000,1.2117479923806058,2020-02-14,2019-12-31,0001172661-20-000857
WUBAUSD,58 COM INC,31680Q104,21906000.0,338421,1.1864547231524403,2020-02-14,2019-12-31,0001172661-20-000857
N/A,2U INC,90214J101,19153000.0,798385,1.037349005411243,2020-02-14,2019-12-31,0001172661-20-000857
NET,CLOUDFLARE INC,18915M107,16045000.0,940518,0.869016070162554,2020-02-14,2019-12-31,0001172661-20-000857
STAA,STAAR SURGICAL CO,852312305,7385000.0,209982,0.39998028533190777,2020-02-14,2019-12-31,0001172661-20-000857
