ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
CPRT,COPART INC,217204106,13739000.0,399752,7.895296382495761,2017-11-14,2017-09-30,0001315863-17-000876
PYPL,PAYPAL HLDGS INC,70450Y103,12179000.0,190200,6.998821940637301,2017-11-14,2017-09-30,0001315863-17-000876
TPD,TEMPUR SEALY INTL INC,88023U101,11562000.0,179200,6.644254805620204,2017-11-14,2017-09-30,0001315863-17-000876
QRVO,QORVO INC,74736K101,10345000.0,146370,5.9448898083498545,2017-11-14,2017-09-30,0001315863-17-000876
N/A,ARCH CAP GROUP LTD,G0450A105,9033000.0,91702,5.190931816222739,2017-11-14,2017-09-30,0001315863-17-000876
ELV,ANTHEM INC,036752103,8526000.0,44900,4.89957762261874,2017-11-14,2017-09-30,0001315863-17-000876
NUS,NU SKIN ENTERPRISES INC,67018T105,7972000.0,129670,4.581214263138235,2017-11-14,2017-09-30,0001315863-17-000876
SNPS,SYNOPSYS INC,871607107,7248000.0,90000,4.165158176019309,2017-11-14,2017-09-30,0001315863-17-000876
WMB,WILLIAMS COS INC DEL,969457100,7043000.0,234680,4.047352239749447,2017-11-14,2017-09-30,0001315863-17-000876
HFCUSD,HOLLYFRONTIER CORP,436106108,6780000.0,188500,3.896215843461771,2017-11-14,2017-09-30,0001315863-17-000876
NDAQ,NASDAQ INC,631103108,6540000.0,84313,3.758296698560469,2017-11-14,2017-09-30,0001315863-17-000876
CYEUR,CYPRESS SEMICONDUCTOR CORP,232806109,6534000.0,435000,3.754848719937937,2017-11-14,2017-09-30,0001315863-17-000876
N/A,COLFAX CORP,194014106,5955000.0,143000,3.4221187828635458,2017-11-14,2017-09-30,0001315863-17-000876
MTG,MGIC INVT CORP WIS,552848103,5488000.0,438000,3.153751113409763,2017-11-14,2017-09-30,0001315863-17-000876
OKE,ONEOK INC NEW,682680103,5379000.0,97074,3.0911128351004225,2017-11-14,2017-09-30,0001315863-17-000876
KMI,KINDER MORGAN INC DEL,49456B101,5006000.0,261000,2.8767634973996494,2017-11-14,2017-09-30,0001315863-17-000876
ATGE,ADTALEM GLOBAL ED INC,00737L103,4661000.0,130000,2.6785047266040283,2017-11-14,2017-09-30,0001315863-17-000876
TSEM,TOWER SEMICONDUCTOR LTD,M87915274,4367000.0,142000,2.509553774099934,2017-11-14,2017-09-30,0001315863-17-000876
AROC,ARCHROCK INC,03957W106,4176000.0,332755,2.3997931212826478,2017-11-14,2017-09-30,0001315863-17-000876
EXTNUSD,EXTERRAN CORP,30227H106,4046000.0,127986,2.325086917794443,2017-11-14,2017-09-30,0001315863-17-000876
N/A,CAPELLA EDUCATION COMPANY,139594105,3858000.0,55000,2.2170502542884236,2017-11-14,2017-09-30,0001315863-17-000876
FDC,FIRST DATA CORP NEW,32008D106,3734000.0,207000,2.145792029422751,2017-11-14,2017-09-30,0001315863-17-000876
CF,CF INDS HLDGS INC,125269100,3129000.0,89000,1.7981208516507197,2017-11-14,2017-09-30,0001315863-17-000876
N/A,ZOES KITCHEN INC,98979J109,2723000.0,215631,1.564807631526018,2017-11-14,2017-09-30,0001315863-17-000876
2362120D,SINCLAIR BROADCAST GROUP INC,829226109,2596000.0,81000,1.4918254173490793,2017-11-14,2017-09-30,0001315863-17-000876
BLDR,BUILDERS FIRSTSOURCE INC,12008R107,2519000.0,140000,1.4475763583599115,2017-11-14,2017-09-30,0001315863-17-000876
CCJ,CAMECO CORP,13321L108,2330000.0,241000,1.3389650317501365,2017-11-14,2017-09-30,0001315863-17-000876
WY,WEYERHAEUSER CO,962166104,2092000.0,61480,1.2021952130563456,2017-11-14,2017-09-30,0001315863-17-000876
CEVA,CEVA INC,157210105,1926000.0,45000,1.1068011378329454,2017-11-14,2017-09-30,0001315863-17-000876
UTI,UNIVERSAL TECHNICAL INST INC,913915104,1655000.0,477079,0.9510674367152256,2017-11-14,2017-09-30,0001315863-17-000876
CHKEUR,CHESAPEAKE ENERGY CORP,165167107,874000.0,203300,0.5022555526822401,2017-11-14,2017-09-30,0001315863-17-000876
