ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
SIMO,Silicon Motion Technology Corp,82706C108,21949000.0,566000,9.336503777308923,2016-05-25,2016-03-31,0001512022-16-000005
DSGX,Descartes Systems Group Inc/The,249906108,10686000.0,550000,4.545531885932077,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Mellanox Technologies Ltd,M51363113,10317000.0,189900,4.388569386782821,2016-05-25,2016-03-31,0001512022-16-000005
PEGA,Pegasystems Inc,705573103,9665000.0,381000,4.111226434356496,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Cavium Inc,14964U108,9403000.0,153750,3.9997788062342607,2016-05-25,2016-03-31,0001512022-16-000005
RDWR,RADWARE Ltd,M81873107,7976000.0,676000,3.3927720683318583,2016-05-25,2016-03-31,0001512022-16-000005
VSAT,ViaSat Inc,92552V100,7345000.0,100000,3.124361941060369,2016-05-25,2016-03-31,0001512022-16-000005
CEVA,Ceva Inc,157210105,7163000.0,318382,3.0469441230517935,2016-05-25,2016-03-31,0001512022-16-000005
N/A,AVG Technologies NV,N07831105,6225000.0,300000,2.647944599469135,2016-05-25,2016-03-31,0001512022-16-000005
IPHI,Inphi Corp,45772F107,5732000.0,172000,2.4382358946437077,2016-05-25,2016-03-31,0001512022-16-000005
WIFI,Boingo Wireless Inc,09739C102,5088000.0,660000,2.1642959232287486,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Mentor Graphics Corp,587200106,5080000.0,250000,2.1608929422173824,2016-05-25,2016-03-31,0001512022-16-000005
HYGS,Hydrogenics Corp,448883207,4971000.0,610000,2.1145273259375212,2016-05-25,2016-03-31,0001512022-16-000005
PFPT,Proofpoint Inc,743424103,4967000.0,92403,2.1128258354318383,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Web.com Group Inc,94733A104,4955000.0,250000,2.1077213639147896,2016-05-25,2016-03-31,0001512022-16-000005
EGHT,8x8 Inc,282914100,4819000.0,480000,2.049870686721568,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Fabrinet,G3323L100,4529000.0,140000,1.9265126250595521,2016-05-25,2016-03-31,0001512022-16-000005
N/A,EPIQ Systems Inc,26882D109,4506000.0,300000,1.9167290546518752,2016-05-25,2016-03-31,0001512022-16-000005
CALD,Callidus Software Inc,13123E500,4334000.0,260000,1.8435649629075068,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Bankrate Inc,06647F102,4126000.0,450000,1.7550874566119918,2016-05-25,2016-03-31,0001512022-16-000005
FIVN,Five9 Inc,338307101,3991000.0,450000,1.6976621520451916,2016-05-25,2016-03-31,0001512022-16-000005
N/A,Planet Payment Inc,U72603118,3819000.0,1082000,1.6244980603008237,2016-05-25,2016-03-31,0001512022-16-000005
