date,PortfolioValue_etf
2020-01-06 00:00:00+00:00,999999.9999999999
2020-01-07 00:00:00+00:00,999849.2063848507
2020-01-08 00:00:00+00:00,999849.2063848507
2020-01-09 00:00:00+00:00,1005740.9500589167
2020-01-10 00:00:00+00:00,1005740.9500589167
2020-01-13 00:00:00+00:00,1005740.9500589167
2020-01-14 00:00:00+00:00,1005740.9500589166
2020-01-15 00:00:00+00:00,1005740.9500589166
2020-01-16 00:00:00+00:00,1005740.9500589164
2020-01-17 00:00:00+00:00,1005740.9500589165
2020-01-21 00:00:00+00:00,1005740.9500589162
2020-01-22 00:00:00+00:00,1005740.9500589161
2020-01-23 00:00:00+00:00,1005740.9500589162
2020-01-24 00:00:00+00:00,1005740.9500589161
2020-01-27 00:00:00+00:00,1005740.950058916
2020-01-28 00:00:00+00:00,1005740.950058916
2020-01-29 00:00:00+00:00,1005740.9500589161
2020-01-30 00:00:00+00:00,1005740.9500589164
2020-01-31 00:00:00+00:00,1005740.9500589166
2020-02-03 00:00:00+00:00,1005740.9500589165
2020-02-04 00:00:00+00:00,1005740.9500589167
2020-02-05 00:00:00+00:00,1005740.9500589166
2020-02-06 00:00:00+00:00,1005740.9500589167
2020-02-07 00:00:00+00:00,1005740.9500589168
2020-02-10 00:00:00+00:00,1005740.9500589167
2020-02-11 00:00:00+00:00,1005740.9500589167
2020-02-12 00:00:00+00:00,1005740.9500589168
2020-02-13 00:00:00+00:00,1005740.950058917
2020-02-14 00:00:00+00:00,1005740.9500589168
2020-02-18 00:00:00+00:00,1005740.9500589168
2020-02-19 00:00:00+00:00,1012782.828313841
2020-02-20 00:00:00+00:00,1012782.828313841
2020-02-21 00:00:00+00:00,1012782.828313841
2020-02-24 00:00:00+00:00,982806.9744634838
2020-02-25 00:00:00+00:00,957780.7324537344
2020-02-26 00:00:00+00:00,954400.6147020715
2020-02-27 00:00:00+00:00,921943.1123589172
2020-02-28 00:00:00+00:00,919026.8971325824
2020-03-02 00:00:00+00:00,948857.4357005137
2020-03-03 00:00:00+00:00,928182.6057069387
2020-03-04 00:00:00+00:00,958504.9835119802
2020-03-05 00:00:00+00:00,930947.5890461239
2020-03-06 00:00:00+00:00,915000.7829457715
2020-03-09 00:00:00+00:00,856136.4209901012
2020-03-10 00:00:00+00:00,892736.081935333
2020-03-11 00:00:00+00:00,855161.520678017
2020-03-12 00:00:00+00:00,787246.1758555201
2020-03-13 00:00:00+00:00,840820.1124576206
2020-03-16 00:00:00+00:00,755170.0209780337
2020-03-17 00:00:00+00:00,787783.6872171523
2020-03-18 00:00:00+00:00,750088.3617585625
2020-03-19 00:00:00+00:00,761772.4870146902
2020-03-20 00:00:00+00:00,740565.0914833058
2020-03-23 00:00:00+00:00,731202.0123309817
2020-03-24 00:00:00+00:00,787732.3370067542
2020-03-25 00:00:00+00:00,799255.2373286056
2020-03-26 00:00:00+00:00,836739.2007627033
2020-03-27 00:00:00+00:00,811475.4834481236
2020-03-30 00:00:00+00:00,830817.1527932698
2020-03-31 00:00:00+00:00,818803.4936315854
2020-04-01 00:00:00+00:00,787175.6517942091
2020-04-02 00:00:00+00:00,796060.1770199665
2020-04-03 00:00:00+00:00,785982.0554385155
2020-04-06 00:00:00+00:00,833933.6714414909
2020-04-07 00:00:00+00:00,831067.9294430733
2020-04-08 00:00:00+00:00,831067.9294430732
2020-04-09 00:00:00+00:00,831067.9294430732
2020-04-13 00:00:00+00:00,831067.9294430732
2020-04-14 00:00:00+00:00,831067.9294430732
2020-04-15 00:00:00+00:00,831067.9294430732
2020-04-16 00:00:00+00:00,831067.9294430733
2020-04-17 00:00:00+00:00,831067.9294430733
2020-04-20 00:00:00+00:00,831067.9294430733
2020-04-21 00:00:00+00:00,831067.9294430732
2020-04-22 00:00:00+00:00,831067.929443073
2020-04-23 00:00:00+00:00,831067.9294430729
2020-04-24 00:00:00+00:00,831067.9294430729
2020-04-27 00:00:00+00:00,831067.9294430728
2020-04-28 00:00:00+00:00,831067.9294430728
2020-04-29 00:00:00+00:00,831067.9294430726
2020-04-30 00:00:00+00:00,831067.9294430726
2020-05-01 00:00:00+00:00,831067.9294430726
2020-05-04 00:00:00+00:00,831067.9294430728
2020-05-05 00:00:00+00:00,831067.929443073
2020-05-06 00:00:00+00:00,831067.929443073
