ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
RDNT,RadNet Inc,750491102,63042000.0,2093711,13.349511479283926,2022-02-14,2021-12-31,0001213900-22-007275
BXC,Bluelinx Holdings Inc,09624H208,37696000.0,393649,7.982348033423542,2022-02-14,2021-12-31,0001213900-22-007275
RYI,Ryerson Holding Corporation,783754104,34495000.0,1324176,7.304517599027617,2022-02-14,2021-12-31,0001213900-22-007275
ARCH1USD,Arch Resources Inc,03940R107,30829000.0,337592,6.528220700403607,2022-02-14,2021-12-31,0001213900-22-007275
DAN,Dana Incorporated,235825205,28262000.0,1238493,5.984643466697159,2022-02-14,2021-12-31,0001213900-22-007275
N/A,Huttig Building Prods Inc,448451104,26073000.0,2355317,5.521109939395479,2022-02-14,2021-12-31,0001213900-22-007275
BLDR,Builders FirstSource Inc,12008R107,25050000.0,292265,5.30448371809369,2022-02-14,2021-12-31,0001213900-22-007275
OPY,Oppenheimer Holdings Inc,683797104,19053000.0,410887,4.0345839633069485,2022-02-14,2021-12-31,0001213900-22-007275
BBX1USD,Bluegreen Vacations HLDG CORP,096308101,18311000.0,521693,3.87746113221611,2022-02-14,2021-12-31,0001213900-22-007275
SPWH,Sportsmans Warehouse Holdings Inc,84920Y106,12918000.0,1094754,2.7354619030073564,2022-02-14,2021-12-31,0001213900-22-007275
KRAUSD,Kraton Performance Polymers,50077C106,11663000.0,251787,2.4697083275100478,2022-02-14,2021-12-31,0001213900-22-007275
VCTR,Victory Cap Holdings Inc,92645B103,10112000.0,276812,2.1412750242460437,2022-02-14,2021-12-31,0001213900-22-007275
ASTL,Algoma Steel Group,015658107,9022000.0,834601,1.9104611618619267,2022-02-14,2021-12-31,0001213900-22-007275
N/A,Fluent Co,34380C102,8556000.0,4299593,1.8117829417967906,2022-02-14,2021-12-31,0001213900-22-007275
CXW,CoreCivic Inc,21871N101,8427000.0,845210,1.784466438817386,2022-02-14,2021-12-31,0001213900-22-007275
N/A,Trinseo SA,L9340P101,6662000.0,127001,1.4107173864247569,2022-02-14,2021-12-31,0001213900-22-007275
EAF,Graftech INTL LTD,384313508,6447000.0,545000,1.3651898814590824,2022-02-14,2021-12-31,0001213900-22-007275
LCUT,Lifetime Brands,53222Q103,6322000.0,395859,1.3387204018278764,2022-02-14,2021-12-31,0001213900-22-007275
ELVTUSD,Elevate Credit Inc,28621V101,5412000.0,1822242,1.1460225901126964,2022-02-14,2021-12-31,0001213900-22-007275
GTN,Gray Television Inc,389375106,5389000.0,267300,1.1411522058605545,2022-02-14,2021-12-31,0001213900-22-007275
TCSUSD,Container Store Group Inc,210751103,5194000.0,520454,1.0998598176358731,2022-02-14,2021-12-31,0001213900-22-007275
2362120D,Sinclair Broadcast Group Inc,829226109,5154000.0,195000,1.0913895841538872,2022-02-14,2021-12-31,0001213900-22-007275
RICK,RCI Hospitality Holdings Inc,74934Q108,4673000.0,60000,0.9895350265330064,2022-02-14,2021-12-31,0001213900-22-007275
CSV,Carriage Services Inc,143905107,4576000.0,71007,0.9689947103391905,2022-02-14,2021-12-31,0001213900-22-007275
JOAN,Joann Inc,47768J101,4495000.0,433043,0.951842487538169,2022-02-14,2021-12-31,0001213900-22-007275
CIGI,Colliers Intl Group Inc,194693107,4475000.0,30104,0.947607370797176,2022-02-14,2021-12-31,0001213900-22-007275
ZEUS,Olympic Steel Inc,68162K106,4054000.0,172500,0.858458163399274,2022-02-14,2021-12-31,0001213900-22-007275
III,Information Services Group Inc,45675Y104,3716000.0,487641,0.786884690476493,2022-02-14,2021-12-31,0001213900-22-007275
CVEO,Civeo Corporation,17878Y207,3714000.0,193750,0.7864611788023936,2022-02-14,2021-12-31,0001213900-22-007275
N/A,Arc Document Solutions Inc,00191G103,3528000.0,974700,0.7470745931111591,2022-02-14,2021-12-31,0001213900-22-007275
N/A,Tremor INTL LTD,89484T104,3257000.0,215000,0.6896887612707044,2022-02-14,2021-12-31,0001213900-22-007275
ATKR,Atkore International Group Inc,047649108,2780000.0,25000,0.5886812269980222,2022-02-14,2021-12-31,0001213900-22-007275
VRTVEUR,Veritiv Corp,923454102,2191000.0,17872,0.4639570389757794,2022-02-14,2021-12-31,0001213900-22-007275
AXR,AMREP Corp,032159105,2149000.0,141360,0.4550632938196942,2022-02-14,2021-12-31,0001213900-22-007275
IEI,Insight Enterprises,45765U103,2132000.0,20000,0.4514634445898501,2022-02-14,2021-12-31,0001213900-22-007275
IESC,IES Holdings Inc,44951W106,2119000.0,41845,0.4487106187082047,2022-02-14,2021-12-31,0001213900-22-007275
NCSUSD,Cornerstone Bldg Brands Inc,21925D109,2107000.0,120837,0.4461695486636089,2022-02-14,2021-12-31,0001213900-22-007275
PKOH,Park-Ohio Holdings Corp,700666100,2050000.0,96820,0.43409946595177895,2022-02-14,2021-12-31,0001213900-22-007275
FSV,FirstService Corp,33767E202,1985000.0,10104,0.4203353365435519,2022-02-14,2021-12-31,0001213900-22-007275
