ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
BRK/A,BERKSHIRE HATHAWAY INC DEL,084670108,65665000.0,218,7.709104997153037,2019-05-15,2019-03-31,0001062993-19-002308
SPY,SPDR S&P 500 ETF TR,78462F103,41327000.0,146300,4.851811196487377,2019-05-15,2019-03-31,0001062993-19-002308
BMCH,BMC STK HLDGS INC,05591B109,40599000.0,2297583,4.766343619575363,2019-05-15,2019-03-31,0001062993-19-002308
DWD,MORGAN STANLEY,617446448,33760000.0,800000,3.963441478776921,2019-05-15,2019-03-31,0001062993-19-002308
BAC,BANK AMER CORP,060505104,31276000.0,1133600,3.671818592719994,2019-05-15,2019-03-31,0001062993-19-002308
BABA,ALIBABA GROUP HLDG LTD,01609W102,18245000.0,100000,2.1419724460984875,2019-05-15,2019-03-31,0001062993-19-002308
PEP,PEPSICO INC,713448108,17770000.0,145000,2.086207200173753,2019-05-15,2019-03-31,0001062993-19-002308
MA,MASTERCARD INC,57636Q104,15893000.0,67500,1.8658464283827492,2019-05-15,2019-03-31,0001062993-19-002308
V,VISA INC,92826C839,14838000.0,95000,1.7419888821709706,2019-05-15,2019-03-31,0001062993-19-002308
META,FACEBOOK INC,30303M102,14452000.0,86700,1.696672282324765,2019-05-15,2019-03-31,0001062993-19-002308
HNGRUSD,HANGER INC,41043F208,14173000.0,744000,1.663917537876342,2019-05-15,2019-03-31,0001062993-19-002308
GOOG,ALPHABET INC,02079K107,14150000.0,12060,1.6612173259684073,2019-05-15,2019-03-31,0001062993-19-002308
UNH,UNITEDHEALTH GROUP INC,91324P102,13599000.0,55000,1.5965296406957157,2019-05-15,2019-03-31,0001062993-19-002308
SPGI,S&P GLOBAL INC,78409V104,10528000.0,50000,1.2359926507275898,2019-05-15,2019-03-31,0001062993-19-002308
HCA,HCA HEALTHCARE INC,40412C101,9779000.0,75000,1.1480596629431137,2019-05-15,2019-03-31,0001062993-19-002308
PCG,PG&E CORP,69331C108,9523000.0,535000,1.118005130402625,2019-05-15,2019-03-31,0001062993-19-002308
VIPS,VIPSHOP HLDGS LTD,92763W103,7776000.0,968304,0.9129064259173383,2019-05-15,2019-03-31,0001062993-19-002308
USPH,U S PHYSICAL THERAPY INC,90337L108,7352000.0,69999,0.8631286063971542,2019-05-15,2019-03-31,0001062993-19-002308
STT,STATE STR CORP,857477103,7239000.0,110000,0.8498623478929542,2019-05-15,2019-03-31,0001062993-19-002308
WLDN,WILLDAN GROUP INC,96924N100,7160000.0,193159,0.8405877069917878,2019-05-15,2019-03-31,0001062993-19-002308
MDY,SPDR S&P MIDCAP 400 ETF TR,78467Y107,6908000.0,20000,0.8110027765222445,2019-05-15,2019-03-31,0001062993-19-002308
WFC,WELLS FARGO CO NEW,949746101,6765000.0,140000,0.794214502485956,2019-05-15,2019-03-31,0001062993-19-002308
DBDEUR,DIEBOLD NXDF INC,253651103,6569000.0,593408,0.7712040010096445,2019-05-15,2019-03-31,0001062993-19-002308
N/A,FANHUA INC,30712A103,6552000.0,249491,0.7692081922081276,2019-05-15,2019-03-31,0001062993-19-002308
COF,CAPITAL ONE FINL CORP,14040H105,6535000.0,80000,0.7672123834066108,2019-05-15,2019-03-31,0001062993-19-002308
MSFT,MICROSOFT CORP,594918104,6487000.0,55000,0.7615771585552693,2019-05-15,2019-03-31,0001062993-19-002308
MPC,MARATHON PETE CORP,56585A102,6037000.0,100864,0.7087469255739417,2019-05-15,2019-03-31,0001062993-19-002308
ROCK,GIBRALTAR INDS INC,374689107,5685000.0,140000,0.6674219433307701,2019-05-15,2019-03-31,0001062993-19-002308
UAL,UNITED CONTL HLDGS INC,910047109,5585000.0,70000,0.6556818915571418,2019-05-15,2019-03-31,0001062993-19-002308
FICO,FAIR ISAAC CORP,303250104,5433000.0,20000,0.6378370128612267,2019-05-15,2019-03-31,0001062993-19-002308
AIG,AMERICAN INTL GROUP INC,026874784,5124000.0,119000,0.6015602528807151,2019-05-15,2019-03-31,0001062993-19-002308
VWO,VANGUARD INTL EQUITY INDEX F,922042858,5083000.0,119600,0.5967468316535276,2019-05-15,2019-03-31,0001062993-19-002308
BK,BANK NEW YORK MELLON CORP,064058100,5043000.0,100000,0.5920508109440763,2019-05-15,2019-03-31,0001062993-19-002308
VEU,VANGUARD INTL EQUITY INDEX F,922042775,5015000.0,100000,0.5887635964474603,2019-05-15,2019-03-31,0001062993-19-002308
BHC,BAUSCH HEALTH COS INC,071734107,5004000.0,202600,0.5874721907523612,2019-05-15,2019-03-31,0001062993-19-002308
WMT,WALMART INC,931142103,4877000.0,50000,0.5725623249998533,2019-05-15,2019-03-31,0001062993-19-002308
GS,GOLDMAN SACHS GROUP INC,38141G104,4819000.0,25100,0.5657530949711488,2019-05-15,2019-03-31,0001062993-19-002308
PSX,PHILLIPS 66,718546104,4759000.0,50000,0.5587090639069718,2019-05-15,2019-03-31,0001062993-19-002308
SAVEEUR,SPIRIT AIRLS INC,848577102,4757000.0,90000,0.5584742628714993,2019-05-15,2019-03-31,0001062993-19-002308
JPM,JPMORGAN CHASE & CO,46625H100,4727000.0,46700,0.5549522473394108,2019-05-15,2019-03-31,0001062993-19-002308
KO,COCA COLA CO,191216100,4686000.0,100000,0.5501388261122232,2019-05-15,2019-03-31,0001062993-19-002308
MSTR,MICROSTRATEGY INC,594972408,4616000.0,32000,0.5419207898706834,2019-05-15,2019-03-31,0001062993-19-002308
ENTG,ENTEGRIS INC,29362U104,4607000.0,129091,0.5408641852110567,2019-05-15,2019-03-31,0001062993-19-002308
CROX,CROCS INC,227046109,4334000.0,168300,0.5088138438690515,2019-05-15,2019-03-31,0001062993-19-002308
HBAN,HUNTINGTON BANCSHARES INC,446150104,4306000.0,339596,0.5055266293724355,2019-05-15,2019-03-31,0001062993-19-002308
CNO,CNO FINL GROUP INC,12621E103,4289000.0,265069,0.5035308205709187,2019-05-15,2019-03-31,0001062993-19-002308
LKQ1,LKQ CORP,501889208,4257000.0,150000,0.4997740040033577,2019-05-15,2019-03-31,0001062993-19-002308
PYPL,PAYPAL HLDGS INC,70450Y103,4154000.0,40000,0.4876817506765205,2019-05-15,2019-03-31,0001062993-19-002308
VEA,VANGUARD TAX MANAGED INTL FD,921943858,4087000.0,100000,0.47981591598818946,2019-05-15,2019-03-31,0001062993-19-002308
MSCI,MSCI INC,55354G100,3977000.0,20000,0.46690185903719833,2019-05-15,2019-03-31,0001062993-19-002308
AMT,AMERICAN TOWER CORP NEW,03027X100,3941000.0,20000,0.46267544039869213,2019-05-15,2019-03-31,0001062993-19-002308
DIS,DISNEY WALT CO,254687106,3864000.0,34800,0.4536356005329984,2019-05-15,2019-03-31,0001062993-19-002308
EZPW,EZCORP INC,302301106,3730000.0,400214,0.4379039311563364,2019-05-15,2019-03-31,0001062993-19-002308
CSV,CARRIAGE SVCS INC,143905107,3715000.0,192957,0.43614292339029215,2019-05-15,2019-03-31,0001062993-19-002308
NTRS,NORTHERN TR CORP,665859104,3616000.0,40000,0.4245202721344001,2019-05-15,2019-03-31,0001062993-19-002308
DELL,DELL TECHNOLOGIES INC,24703L202,3563000.0,60701,0.41829804469437715,2019-05-15,2019-03-31,0001062993-19-002308
BHB,BAR HBR BANKSHARES,066849100,3546000.0,137070,0.41630223589286025,2019-05-15,2019-03-31,0001062993-19-002308
STRS,STRATUS PPTYS INC,863167201,3516000.0,133131,0.41278022036077183,2019-05-15,2019-03-31,0001062993-19-002308
MDLZ,MONDELEZ INTL INC,609207105,3494000.0,70000,0.41019740897057355,2019-05-15,2019-03-31,0001062993-19-002308
STC,STEWART INFORMATION SVCS COR,860372101,3415000.0,80000,0.4009227680694072,2019-05-15,2019-03-31,0001062993-19-002308
LEE1EUR,LEE ENTERPRISES INC,523768109,3272000.0,991501,0.3841344940331187,2019-05-15,2019-03-31,0001062993-19-002308
TOL,TOLL BROTHERS INC,889478103,3258000.0,90000,0.38249088678481075,2019-05-15,2019-03-31,0001062993-19-002308
