ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
N/A,SBA COMMUNICATIONS CORP,78388J106,81318000.0,734181,49.87763363694912,2015-02-13,2014-12-31,0000950123-15-001949
IDCC,INTERDIGITAL INC,45867G101,8595000.0,162480,5.271874137455148,2015-02-13,2014-12-31,0000950123-15-001949
C,CITIGROUP INC,172967424,6481000.0,119767,3.9752200447756616,2015-02-13,2014-12-31,0000950123-15-001949
GME,GAMESTOP CORP NEW,36467W109,5915000.0,175000,3.628055325543595,2015-02-13,2014-12-31,0000950123-15-001949
N/A,LIBERTY INTERACTIVE CORP,53071M104,5417000.0,184123,3.3225994418376423,2015-02-13,2014-12-31,0000950123-15-001949
MSFT,MICROSOFT CORP,594918104,5198000.0,111900,3.188272456834422,2015-02-13,2014-12-31,0000950123-15-001949
GS,GOLDMAN SACHS GROUP INC,38141G104,4764000.0,24580,2.9220719477412826,2015-02-13,2014-12-31,0000950123-15-001949
ORCL,ORACLE CORP,68389X105,4214000.0,93700,2.584721072162419,2015-02-13,2014-12-31,0000950123-15-001949
N/A,EQUINIX INC,29444U502,2789000.0,12301,1.7106756217990002,2015-02-13,2014-12-31,0000950123-15-001949
BRK/A,BERKSHIRE HATHAWAY INC DEL,084670108,2712000.0,12,1.6634464992179594,2015-02-13,2014-12-31,0000950123-15-001949
N/A,LIBERTY INTERACTIVE CORP,53071M880,2346000.0,62190,1.438954825650934,2015-02-13,2014-12-31,0000950123-15-001949
WTWEUR,WEIGHT WATCHERS INTL INC NEW,948626106,1997000.0,80400,1.224890360965437,2015-02-13,2014-12-31,0000950123-15-001949
WMB,WILLIAMS COS INC DEL,969457100,1798000.0,40000,1.102830680528721,2015-02-13,2014-12-31,0000950123-15-001949
CVS,CVS HEALTH CORP,126650100,1685000.0,17500,1.0335204097279724,2015-02-13,2014-12-31,0000950123-15-001949
MA,MASTERCARD INC,57636Q104,1631000.0,18925,1.0003986873984114,2015-02-13,2014-12-31,0000950123-15-001949
PM,PHILIP MORRIS INTL INC,718172109,1558000.0,19130,0.9556230257306713,2015-02-13,2014-12-31,0000950123-15-001949
ATVIEUR,ACTIVISION BLIZZARD INC,00507V109,1491000.0,74000,0.9145275554328826,2015-02-13,2014-12-31,0000950123-15-001949
N/A,GOOGLE INC,38259P508,1354000.0,2552,0.8304965191523292,2015-02-13,2014-12-31,0000950123-15-001949
N/A,GOOGLE INC,38259P706,1343000.0,2552,0.823749501640752,2015-02-13,2014-12-31,0000950123-15-001949
N/A,NEUSTAR INC,64126X201,1251000.0,45000,0.767319900634833,2015-02-13,2014-12-31,0000950123-15-001949
N/A,NOBLE CORP PLC,G65431101,1214000.0,73250,0.7446253871868004,2015-02-13,2014-12-31,0000950123-15-001949
WFC,WELLS FARGO & CO NEW,949746101,1206000.0,22000,0.7397184653601987,2015-02-13,2014-12-31,0000950123-15-001949
BUD,ANHEUSER BUSCH INBEV SA/NV,03524A108,1112000.0,9900,0.6820621338976293,2015-02-13,2014-12-31,0000950123-15-001949
UNUSD,UNILEVER NV,904784709,999000.0,25585,0.612751863096881,2015-02-13,2014-12-31,0000950123-15-001949
LT0A,LIBERTY TRIPADVISOR HOLDINGS INC,531465102,969000.0,36014,0.5943509062471248,2015-02-13,2014-12-31,0000950123-15-001949
BCOREUR,BLUCORA INC,095229100,915000.0,66100,0.5612291839175637,2015-02-13,2014-12-31,0000950123-15-001949
VIAB,VIACOM INC NEW,92553P201,753000.0,10000,0.4618640169288803,2015-02-13,2014-12-31,0000950123-15-001949
N/A,NEW RESIDENTIAL INVT CORP,64828T102,656000.0,51357,0.4023675897813353,2015-02-13,2014-12-31,0000950123-15-001949
N/A,KING DIGITAL ENTMT PLC,G5258J109,614000.0,40000,0.37660625019167665,2015-02-13,2014-12-31,0000950123-15-001949
BF/A,BROWN FORMAN CORP,115637100,573000.0,6525,0.35145827583034317,2015-02-13,2014-12-31,0000950123-15-001949
MO,ALTRIA GROUP INC,02209S103,554000.0,11250,0.3398043364921643,2015-02-13,2014-12-31,0000950123-15-001949
N/A,COMCAST CORP NEW,20030N200,432000.0,7500,0.2649737786364891,2015-02-13,2014-12-31,0000950123-15-001949
D,DOMINION RES INC VA NEW,25746U109,411000.0,5340,0.25209310884165975,2015-02-13,2014-12-31,0000950123-15-001949
IP,INTL PAPER CO,460146103,371000.0,6920,0.22755849970865152,2015-02-13,2014-12-31,0000950123-15-001949
CCK,CROWN HOLDINGS INC,228368106,362000.0,7110,0.22203821265372467,2015-02-13,2014-12-31,0000950123-15-001949
RTN1USD,RAYTHEON CO,755111507,347000.0,3210,0.21283773422884655,2015-02-13,2014-12-31,0000950123-15-001949
TGT,TARGET CORP,87612E106,345000.0,4550,0.21161100377219613,2015-02-13,2014-12-31,0000950123-15-001949
WY,WEYERHAEUSER CO,962166104,337000.0,9390,0.2067040819455945,2015-02-13,2014-12-31,0000950123-15-001949
MLM,MARTIN MARIETTA MATLS INC,573284106,331000.0,3000,0.20302389057564327,2015-02-13,2014-12-31,0000950123-15-001949
RSG,REPUBLIC SVCS INC,760759100,310000.0,7700,0.19014322078081394,2015-02-13,2014-12-31,0000950123-15-001949
OKE,ONEOK INC NEW,682680103,308000.0,6190,0.18891649032416352,2015-02-13,2014-12-31,0000950123-15-001949
N/A,DOW CHEM CO,260543103,292000.0,6400,0.1791026466709602,2015-02-13,2014-12-31,0000950123-15-001949
OIEUR,OWENS ILL INC,690768403,289000.0,10710,0.17726255098598462,2015-02-13,2014-12-31,0000950123-15-001949
SNR1USD,NEW SR INVT GROUP INC,648691103,282000.0,17119,0.17296899438770816,2015-02-13,2014-12-31,0000950123-15-001949
OC,OWENS CORNING NEW,690742101,274000.0,7640,0.1680620725611065,2015-02-13,2014-12-31,0000950123-15-001949
N/A,ALCOA INC,013817101,243000.0,15400,0.14904775048302513,2015-02-13,2014-12-31,0000950123-15-001949
CAG,CONAGRA FOODS INC,205887102,242000.0,6670,0.1484343852546999,2015-02-13,2014-12-31,0000950123-15-001949
DVN,DEVON ENERGY CORP NEW,25179M103,237000.0,3870,0.14536755911307386,2015-02-13,2014-12-31,0000950123-15-001949
OXY,OCCIDENTAL PETE CORP DEL,674599105,228000.0,2830,0.139847272058147,2015-02-13,2014-12-31,0000950123-15-001949
N/A,U S G CORP,903293405,224000.0,8020,0.1373938111448462,2015-02-13,2014-12-31,0000950123-15-001949
SEE,SEALED AIR CORP NEW,81211K100,222000.0,5230,0.1361670806881958,2015-02-13,2014-12-31,0000950123-15-001949
N/A,CONSOL ENERGY INC,20854P109,201000.0,5950,0.12328641089336646,2015-02-13,2014-12-31,0000950123-15-001949
