ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
VVV,VALVOLINE INC,92047W101,79367000.0,3679527,11.964681974963217,2018-08-14,2018-06-30,0001214659-18-005483
PTC,PTC INC,69370C100,78231000.0,833926,11.793428447381752,2018-08-14,2018-06-30,0001214659-18-005483
AWN,ADVANCE AUTO PARTS INC,00751Y106,74177000.0,546622,11.182282495959864,2018-08-14,2018-06-30,0001214659-18-005483
CSOD,CORNERSTONE ONDEMAND INC,21925Y103,55771000.0,1175868,8.407553245374949,2018-08-14,2018-06-30,0001214659-18-005483
BATRKUSD,LIBERTY BRAVES GROUP -C,531229888,48754000.0,1885311,7.349731059601051,2018-08-14,2018-06-30,0001214659-18-005483
EQIX,EQUINIX INC,29444U700,48744000.0,113387,7.348223546154031,2018-08-14,2018-06-30,0001214659-18-005483
EXPD,EXPEDITORS INTL WASH INC,302130109,47735000.0,653015,7.196115439349719,2018-08-14,2018-06-30,0001214659-18-005483
DKS,DICKS SPORTING GOODS,253393102,39663000.0,1125178,5.979250584915217,2018-08-14,2018-06-30,0001214659-18-005483
AYXEUR,ALTERYX INC,02156B103,34300000.0,898847,5.17077112327842,2018-08-14,2018-06-30,0001214659-18-005483
CLNSEUR,COLONY CAPITAL INC,19626G108,32918000.0,5275398,4.962432764900263,2018-08-14,2018-06-30,0001214659-18-005483
N/A,INTERXION HOLDING N.V.,N47279109,31672000.0,507400,4.774596589401577,2018-08-14,2018-06-30,0001214659-18-005483
RIG,TRANSOCEAN LTD,H8817H100,25377000.0,1888200,3.8256168745025207,2018-08-14,2018-06-30,0001214659-18-005483
NWS,NEWS CORP NEW/CL B,65249B208,25017000.0,1578343,3.771346390409802,2018-08-14,2018-06-30,0001214659-18-005483
NWSA,NEWS CORP NEW,65249B109,24655000.0,1590673,3.71677440362768,2018-08-14,2018-06-30,0001214659-18-005483
SPSC,SPS COMMERCE INC,78463M107,15123000.0,205809,2.2798125859282665,2018-08-14,2018-06-30,0001214659-18-005483
ETMUSD,ENTERCOM COMMUNICATIONS,293639100,1840000.0,243716,0.27738247425167034,2018-08-14,2018-06-30,0001214659-18-005483
