ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
META,FACEBOOK INC,30303M102,97160000.0,500000,17.389374512288537,2018-08-13,2018-06-30,0001635925-18-000006
AAPL,APPLE INC,037833100,74044000.0,400000,13.252149509961841,2018-08-13,2018-06-30,0001635925-18-000006
LUV,SOUTHWEST AIRLS CO,844741108,64109000.0,1260000,11.474016165174001,2018-08-13,2018-06-30,0001635925-18-000006
AMZN,AMAZON COM INC,023135106,59493000.0,35000,10.647859796825669,2018-08-13,2018-06-30,0001635925-18-000006
COST,COSTCO WHSL CORP NEW,22160K105,52245000.0,250000,9.350636799037822,2018-08-13,2018-06-30,0001635925-18-000006
PYPL,PAYPAL HLDGS INC,70450Y103,41635000.0,500000,7.451694193280499,2018-08-13,2018-06-30,0001635925-18-000006
MKL,MARKEL CORP,570535104,35008000.0,32285,6.265615715584574,2018-08-13,2018-06-30,0001635925-18-000006
GOOGL,ALPHABET INC,02079K305,29165000.0,25828,5.219854957296163,2018-08-13,2018-06-30,0001635925-18-000006
GOOG,ALPHABET INC,02079K107,28893000.0,25898,5.171173299542535,2018-08-13,2018-06-30,0001635925-18-000006
PHM,PULTE GROUP INC,745867101,28750000.0,1000000,5.145579633885297,2018-08-13,2018-06-30,0001635925-18-000006
BRK/B,BERKSHIRE HATHAWAY INC DEL,084670702,18665000.0,100000,3.340599786659794,2018-08-13,2018-06-30,0001635925-18-000006
LEN,LENNAR CORP,526057104,10500000.0,200000,1.8792551706363694,2018-08-13,2018-06-30,0001635925-18-000006
DIS,DISNEY WALT CO,254687106,10481000.0,100000,1.8758546136609322,2018-08-13,2018-06-30,0001635925-18-000006
HD,HOME DEPOT INC,437076102,3902000.0,20000,0.6983670167450584,2018-08-13,2018-06-30,0001635925-18-000006
BKNG,BOOKING HLDGS INC,09857L108,3041000.0,1500,0.5442680927528761,2018-08-13,2018-06-30,0001635925-18-000006
VHIUSD,VALHI INC NEW,918905100,1641000.0,344790,0.2937007366680269,2018-08-13,2018-06-30,0001635925-18-000006
