ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
AAPL,APPLE INC,037833100,281191714000.0,1449666,30.764007180425835,2023-08-14,2023-06-30,0001858353-23-000006
COST,COSTCO WHSL CORP NEW,22160K105,121948454000.0,226510,13.341869364251002,2023-08-14,2023-06-30,0001858353-23-000006
META,META PLATFORMS INC,30303M102,117006912000.0,407718,12.801235960059099,2023-08-14,2023-06-30,0001858353-23-000006
AMZN,AMAZON COM INC ,023135106,82676789000.0,634219,9.045321052563276,2023-08-14,2023-06-30,0001858353-23-000006
GOOG,ALPHABET INC,02079K107,56994532000.0,471146,6.235532927876424,2023-08-14,2023-06-30,0001858353-23-000006
GOOGL,ALPHABET INC,02079K305,56396176000.0,471146,6.1700693051451685,2023-08-14,2023-06-30,0001858353-23-000006
LUV,SOUTHWEST AIRLS CO ,844741108,41337734000.0,1141611,4.522588263744262,2023-08-14,2023-06-30,0001858353-23-000006
MKL,MARKEL GROUP INC,570535104,39748444000.0,28737,4.348710704280404,2023-08-14,2023-06-30,0001858353-23-000006
MSFT,MICROSOFT CORP,594918104,31791112000.0,93355,3.478132352938827,2023-08-14,2023-06-30,0001858353-23-000006
BRK/B,BERKSHIRE HATHAWAY INC DEL,084670702,30895964000.0,90604,3.380197961104139,2023-08-14,2023-06-30,0001858353-23-000006
PYPL,PAYPAL HLDGS INC,70450Y103,27429100000.0,411046,3.000902897702804,2023-08-14,2023-06-30,0001858353-23-000006
DIS,DISNEY WALT CO ,254687106,20836970000.0,233389,2.2796855767176614,2023-08-14,2023-06-30,0001858353-23-000006
SPOT,SPOTIFY TECHNOLOGY S A ,L8681T102,5774341000.0,35966,0.6317464531911039,2023-08-14,2023-06-30,0001858353-23-000006
