ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
ENTG,ENTEGRIS INC.,29362U104,123494000.0,2091354,5.5926834183598375,2020-08-14,2020-06-30,0001567619-20-015256
HALO,HALOZYME THERAPEUTICS INC.,40637H109,91193000.0,3401470,4.129865248275128,2020-08-14,2020-06-30,0001567619-20-015256
UGI,UGI CORP.,902681105,87588000.0,2754339,3.9666053026649184,2020-08-14,2020-06-30,0001567619-20-015256
N/A,HELEN OF TROY LTD.,G4388N106,75569000.0,400767,3.4222998140965113,2020-08-14,2020-06-30,0001567619-20-015256
CLH,CLEAN HARBORS INC.,184496107,73743000.0,1229463,3.3396055947666246,2020-08-14,2020-06-30,0001567619-20-015256
CPRT,COPART INC.,217204106,70531000.0,847012,3.194143474017667,2020-08-14,2020-06-30,0001567619-20-015256
EBS,EMERGENT BIOSOLUTIONS INC,29089Q105,70436000.0,890696,3.1898412008323764,2020-08-14,2020-06-30,0001567619-20-015256
KAR,KAR AUCTION SERVICES INC.,48238T109,68464000.0,4975574,3.1005350669229914,2020-08-14,2020-06-30,0001567619-20-015256
WWD,WOODWARD INC.,980745103,64295000.0,829072,2.9117332047180087,2020-08-14,2020-06-30,0001567619-20-015256
BWXT,BWX TECHNOLOGIES,05605H100,63167000.0,1115230,2.8606493715284618,2020-08-14,2020-06-30,0001567619-20-015256
INGR,INGREDION INC.,457187102,62090000.0,748072,2.811875179733123,2020-08-14,2020-06-30,0001567619-20-015256
IAA-WUSD,IAA INC.,449253103,60925000.0,1579583,2.7591157243556217,2020-08-14,2020-06-30,0001567619-20-015256
IEX,IDEX CORP.,45167R104,60883000.0,385241,2.7572136667368614,2020-08-14,2020-06-30,0001567619-20-015256
TDY,TELEDYNE INC.,879360105,51475000.0,165542,2.331152760134684,2020-08-14,2020-06-30,0001567619-20-015256
TCF,TCF FINANCIAL CORP,872307103,49914000.0,1696598,2.2604596186374475,2020-08-14,2020-06-30,0001567619-20-015256
