ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
MU,MICRON TECHNOLOGY INC,595112103,651250000.0,16558600,16.231459996460856,2017-11-13,2017-09-30,0000877338-17-000006
BRK/A,BERKSHIRE HATHAWAY INC DEL,084670108,520907000.0,1896,12.98285010729587,2017-11-13,2017-09-30,0000877338-17-000006
MU,MICRON TECHNOLOGY INC,595112103,476684000.0,12120100,11.880656087451742,2017-11-13,2017-09-30,0000877338-17-000006
BRK/B,BERKSHIRE HATHAWAY INC DEL,084670702,416211000.0,2270407,10.373454428540452,2017-11-13,2017-09-30,0000877338-17-000006
N/A,POWERSHARES QQQ TRUST,73935A104,145450000.0,1000000,3.6251299139888395,2017-11-13,2017-09-30,0000877338-17-000006
LUV,SOUTHWEST AIRLS CO,844741108,119836000.0,2140700,2.9867381806309146,2017-11-13,2017-09-30,0000877338-17-000006
WFC,WELLS FARGO CO NEW,949746101,117147000.0,2124149,2.9197187626954317,2017-11-13,2017-09-30,0000877338-17-000006
ATI,ALLEGHENY TECHNOLOGIES INC,01741R102,95179000.0,3982400,2.3721982817706686,2017-11-13,2017-09-30,0000877338-17-000006
META,FACEBOOK INC,30303M102,92543000.0,541600,2.30649981182722,2017-11-13,2017-09-30,0000877338-17-000006
MU,MICRON TECHNOLOGY INC,595112103,89456000.0,2274500,2.229560822177969,2017-11-13,2017-09-30,0000877338-17-000006
KMX,CARMAX INC,143130102,80319000.0,1059484,2.0018343730606363,2017-11-13,2017-09-30,0000877338-17-000006
LPI1EUR,LAREDO PETROLEUM INC,516806106,76736000.0,5934700,1.9125333040897048,2017-11-13,2017-09-30,0000877338-17-000006
RHP,RYMAN HOSPITALITY PPTYS INC,78377T107,74307000.0,1189100,1.8519940083792965,2017-11-13,2017-09-30,0000877338-17-000006
AAPL,APPLE INC,037833100,66148000.0,429200,1.6486427882470522,2017-11-13,2017-09-30,0000877338-17-000006
N/A,PANDORA MEDIA INC,698354107,64295000.0,8350000,1.6024594556198861,2017-11-13,2017-09-30,0000877338-17-000006
RRC,RANGE RES CORP,75281A109,63217000.0,3230300,1.5755918719328459,2017-11-13,2017-09-30,0000877338-17-000006
HMHCUSD,HOUGHTON MIFFLIN HARCOURT CO,44157R109,62331000.0,5172673,1.5535096092735534,2017-11-13,2017-09-30,0000877338-17-000006
AMZN,AMAZON COM INC,023135106,60084000.0,62500,1.4975063991206972,2017-11-13,2017-09-30,0000877338-17-000006
GLD,SPDR GOLD TRUST,78463V107,56628000.0,465768,1.4113706206212444,2017-11-13,2017-09-30,0000877338-17-000006
SC,SANTANDER CONSUMER USA HDG I,80283M101,53521000.0,3482200,1.3339331600316031,2017-11-13,2017-09-30,0000877338-17-000006
JBLU,JETBLUE AIRWAYS CORP,477143101,45137000.0,2435900,1.1249741418199672,2017-11-13,2017-09-30,0000877338-17-000006
DWD,MORGAN STANLEY,617446448,44312000.0,919900,1.1044122155288651,2017-11-13,2017-09-30,0000877338-17-000006
ALB,ALBEMARLE CORP,012653101,43756000.0,321000,1.0905547233860133,2017-11-13,2017-09-30,0000877338-17-000006
GNRC,GENERAC HLDGS INC,368736104,43633000.0,950000,1.0874891271026128,2017-11-13,2017-09-30,0000877338-17-000006
PRAA,PRA GROUP INC,69354N106,38588000.0,1346870,0.9617498323891462,2017-11-13,2017-09-30,0000877338-17-000006
GIII,G-III APPAREL GROUP LTD,36237H101,35985000.0,1240000,0.8968738394973419,2017-11-13,2017-09-30,0000877338-17-000006
LAMR,LAMAR ADVERTISING CO NEW,512816109,35718000.0,521200,0.8902192524431307,2017-11-13,2017-09-30,0000877338-17-000006
BAC,BANK AMER CORP,060505104,32791000.0,1294050,0.8172680303170026,2017-11-13,2017-09-30,0000877338-17-000006
WMT,WAL-MART STORES INC,931142103,27349000.0,350000,0.6816340874367877,2017-11-13,2017-09-30,0000877338-17-000006
AN,AUTONATION INC,05329W102,27021000.0,569348,0.6734591640143859,2017-11-13,2017-09-30,0000877338-17-000006
