ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
N/A,HCP INC,40414l109,8354000.0,256400,3.8585001085405226,2016-05-09,2016-03-31,0001085146-16-003617
AAPL,APPLE INC,037833100,8274000.0,75914,3.8215501434120522,2016-05-09,2016-03-31,0001085146-16-003617
WY,WEYERHAEUSER CO,962166104,7743000.0,249922,3.57629474987183,2016-05-09,2016-03-31,0001085146-16-003617
N/A,E M C CORP MASS,268648102,7635000.0,286503,3.5264122969483944,2016-05-09,2016-03-31,0001085146-16-003617
N/A,FLY LEASING LTD,34407d109,7223000.0,568311,3.3361199765367724,2016-05-09,2016-03-31,0001085146-16-003617
N/A,VERIZON COMMUNICATIONS INC,92343v104,7195000.0,133044,3.323187488741808,2016-05-09,2016-03-31,0001085146-16-003617
KYN,KAYNE ANDERSON MLP INVT CO,486606106,7168000.0,432605,3.310716875510949,2016-05-09,2016-03-31,0001085146-16-003617
WBA,WALGREENS BOOTS ALLIANCE INC,931427108,7029000.0,83445,3.2465163111002315,2016-05-09,2016-03-31,0001085146-16-003617
THO,THOR INDS INC,885160101,6754000.0,105911,3.1195008059711142,2016-05-09,2016-03-31,0001085146-16-003617
N/A,ABBVIE INC,00287y109,6593000.0,115415,3.045139001150068,2016-05-09,2016-03-31,0001085146-16-003617
GE,GENERAL ELECTRIC CO,369604103,6168000.0,194032,2.8488423114050683,2016-05-09,2016-03-31,0001085146-16-003617
BDX,BECTON DICKINSON & CO,075887109,6030000.0,39716,2.785103621558457,2016-05-09,2016-03-31,0001085146-16-003617
N/A,CHICAGO BRIDGE & IRON CO N V,167250109,5564000.0,152055,2.569870074685117,2016-05-09,2016-03-31,0001085146-16-003617
DLX,DELUXE CORP,248019101,5310000.0,84980,2.452553935402223,2016-05-09,2016-03-31,0001085146-16-003617
QCOM,QUALCOMM INC,747525103,5210000.0,101868,2.4063664789916355,2016-05-09,2016-03-31,0001085146-16-003617
WFC,WELLS FARGO & CO NEW,949746101,4847000.0,100221,2.238706012221201,2016-05-09,2016-03-31,0001085146-16-003617
LOW,LOWES COS INC,548661107,4693000.0,61948,2.1675773293488954,2016-05-09,2016-03-31,0001085146-16-003617
AZZ,AZZ INC,002474104,4283000.0,75663,1.9782087580654848,2016-05-09,2016-03-31,0001085146-16-003617
ABT,ABBOTT LABS,002824100,4137000.0,98898,1.9107750717060261,2016-05-09,2016-03-31,0001085146-16-003617
DCI,DONALDSON INC,257651109,4092000.0,128238,1.8899907163212615,2016-05-09,2016-03-31,0001085146-16-003617
