ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
HWM,HOWMET AEROSPACE INC,443201108,385993101000.0,5640700,12.701904506431458,2024-05-15,2024-03-31,0000950123-24-005608
FICO,FAIR ISAAC CORP,303250104,315476541000.0,252460,10.381410671382202,2024-05-15,2024-03-31,0000950123-24-005608
V,VISA INC,92826C839,245227596000.0,878700,8.06972326361282,2024-05-15,2024-03-31,0000950123-24-005608
MSFT,MICROSOFT CORP,594918104,219826200000.0,522500,7.233837582013422,2024-05-15,2024-03-31,0000950123-24-005608
CRM,SALESFORCE INC,79466L302,205344524000.0,681800,6.757287961907439,2024-05-15,2024-03-31,0000950123-24-005608
EFX,EQUIFAX INC,294429105,193470464000.0,723200,6.3665473610187275,2024-05-15,2024-03-31,0000950123-24-005608
FI,FISERV INC,337738108,187500824000.0,1173200,6.170103960809422,2024-05-15,2024-03-31,0000950123-24-005608
BC,BRUNSWICK CORP,117043109,172616368000.0,1788400,5.680300028427272,2024-05-15,2024-03-31,0000950123-24-005608
APP,APPLOVIN CORP,03831W108,148802234000.0,2149700,4.896646498901202,2024-05-15,2024-03-31,0000950123-24-005608
GOOGL,ALPHABET INC,02079K305,138493368000.0,917600,4.557411856721424,2024-05-15,2024-03-31,0000950123-24-005608
PGR,PROGRESSIVE CORP,743315103,124753824000.0,603200,4.105283631118984,2024-05-15,2024-03-31,0000950123-24-005608
ICE,INTERCONTINENTAL EXCHANGE IN,45866F104,117241533000.0,853100,3.8580760964264806,2024-05-15,2024-03-31,0000950123-24-005608
LNG,CHENIERE ENERGY INC,16411R208,112847616000.0,699700,3.7134851335346704,2024-05-15,2024-03-31,0000950123-24-005608
META,META PLATFORMS INC,30303M102,96630420000.0,199000,3.1798246240063355,2024-05-15,2024-03-31,0000950123-24-005608
AMZN,AMAZON COM INC,023135106,91091900000.0,505000,2.9975681226214546,2024-05-15,2024-03-31,0000950123-24-005608
TSM,TAIWAN SEMICONDUCTOR MFG LTD,874039100,72079290000.0,529800,2.3719187107216713,2024-05-15,2024-03-31,0000950123-24-005608
SWK,STANLEY BLACK & DECKER INC,854502101,59022411000.0,602700,1.9422549945040328,2024-05-15,2024-03-31,0000950123-24-005608
DXCM,DEXCOM INC,252131107,41277120000.0,297600,1.358309345898159,2024-05-15,2024-03-31,0000950123-24-005608
CNM,CORE & MAIN INC,21874C102,36714425000.0,641300,1.208164392447366,2024-05-15,2024-03-31,0000950123-24-005608
INTC,INTEL CORP,458140100,33560366000.0,759800,1.1043735316214605,2024-05-15,2024-03-31,0000950123-24-005608
NPWR,NET POWER INC,64107A105,20804974000.0,1826600,0.6846308711791957,2024-05-15,2024-03-31,0000950123-24-005608
CORZ 12 01/23/29,CORE SCIENTIFIC INC NEW,21874AAB2,9566444000.0,10797341,0.3148037046240476,2024-05-15,2024-03-31,0000950123-24-005608
CORZ,CORE SCIENTIFIC INC NEW,21874A106,8946992000.0,2527399,0.29441935026658983,2024-05-15,2024-03-31,0000950123-24-005608
NPWR/WS,NET POWER INC,64107A113,1571510000.0,541900,0.051713799804163074,2024-05-15,2024-03-31,0000950123-24-005608
