ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
V,VISA INC,92826C839,383080000.0,5856593,7.468903776350902,2015-05-15,2015-03-31,0001034524-15-000003
NKE,NIKE INC,654106103,347249000.0,3461069,6.77030742255945,2015-05-15,2015-03-31,0001034524-15-000003
ABT,ABBOTT LABS,002824100,331443000.0,7153966,6.462138128706986,2015-05-15,2015-03-31,0001034524-15-000003
ORCL,ORACLE CORP,68389X105,308281000.0,7144395,6.010549036956334,2015-05-15,2015-03-31,0001034524-15-000003
SBUX,STARBUCKS CORP,855244109,304481000.0,3215212,5.936460506231333,2015-05-15,2015-03-31,0001034524-15-000003
TJX,TJX COS INC NEW,872540109,281205000.0,4014346,5.482648758558931,2015-05-15,2015-03-31,0001034524-15-000003
N/A,GOOGLE INC,38259P706,279533000.0,510097,5.4500498050399315,2015-05-15,2015-03-31,0001034524-15-000003
N/A,PRICELINE GRP INC,741503403,277842000.0,238665,5.417080408867305,2015-05-15,2015-03-31,0001034524-15-000003
AAPL,APPLE INC,037833100,261152000.0,2098784,5.091675783130393,2015-05-15,2015-03-31,0001034524-15-000003
REGN,REGENERON PHARMACEUTICALS,75886F107,255928000.0,566865,4.989823550365285,2015-05-15,2015-03-31,0001034524-15-000003
ACN,ACCENTURE PLC IRELAND,G1151C101,251518000.0,2684580,4.903841860760745,2015-05-15,2015-03-31,0001034524-15-000003
FAST,FASTENAL CO,311900104,211578000.0,5105640,4.125132408877444,2015-05-15,2015-03-31,0001034524-15-000003
ADP,AUTOMATIC DATA PROCESSING IN,053015103,201154000.0,2348827,3.9218958709097036,2015-05-15,2015-03-31,0001034524-15-000003
ORLY,O REILLY AUTOMOTIVE INC,67103H107,196472000.0,908584,3.8306110022637943,2015-05-15,2015-03-31,0001034524-15-000003
NSRGY,NESTLE S.A. ADR,641069406,194277000.0,2582786,3.787815127279222,2015-05-15,2015-03-31,0001034524-15-000003
CELG,CELGENE CORP,151020104,194249000.0,1685019,3.787269211789669,2015-05-15,2015-03-31,0001034524-15-000003
N/A,GOOGLE INC,38259P508,191716000.0,345621,3.737883356966925,2015-05-15,2015-03-31,0001034524-15-000003
IT,GARTNER INC,366651107,186508000.0,2224306,3.636343075910134,2015-05-15,2015-03-31,0001034524-15-000003
GWW,GRAINGER W W INC,384802104,145770000.0,618349,2.8420750325745825,2015-05-15,2015-03-31,0001034524-15-000003
FDS,FACTSET RESH SYS INC,303075105,111206000.0,698664,2.168181354685388,2015-05-15,2015-03-31,0001034524-15-000003
MA,MASTERCARD INC,57636Q104,106765000.0,1235852,2.081595258645985,2015-05-15,2015-03-31,0001034524-15-000003
ADBE,ADOBE SYS INC,00724F101,101311000.0,1370181,1.975258720073839,2015-05-15,2015-03-31,0001034524-15-000003
IWF,ISHARES TR,464287614,6072000.0,61386,0.11838567330584389,2015-05-15,2015-03-31,0001034524-15-000003
BIDUN,BAIDU COM INC,056752108,209000.0,1002,0.004074869189875061,2015-05-15,2015-03-31,0001034524-15-000003
