ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
AAPL,Apple Computer,037833100,17013000.0,87707,5.275152552463164,2023-07-25,2023-06-30,0001168889-23-000004
MA,Mastercard Worldwide,57636Q104,12781000.0,32496,3.962953316465744,2023-07-25,2023-06-30,0001168889-23-000004
MSFT,Microsoft Corp,594918104,11427000.0,33555,3.5431239767822595,2023-07-25,2023-06-30,0001168889-23-000004
GOOGL,Alphabet Inc,02079K305,9030000.0,75438,2.799895817830034,2023-07-25,2023-06-30,0001168889-23-000004
N/A,Aon PLC,G0403H108,8684000.0,25157,2.692612988043856,2023-07-25,2023-06-30,0001168889-23-000004
FTNT,Fortinet Inc,34959E109,8659000.0,114552,2.6848613384928313,2023-07-25,2023-06-30,0001168889-23-000004
CDNS,Cadence Design Sys,127387108,8466000.0,36101,2.6250186039589227,2023-07-25,2023-06-30,0001168889-23-000004
ITW,Illinois Tool Works,452308109,8400000.0,33578,2.604554249144218,2023-07-25,2023-06-30,0001168889-23-000004
ORLY,O'Reilly Automotive New,67103H107,8247000.0,8633,2.557114153891948,2023-07-25,2023-06-30,0001168889-23-000004
N/A,Lam Research Corp,512807108,8026000.0,12485,2.488589571860892,2023-07-25,2023-06-30,0001168889-23-000004
PH,Parker Hannifin Corp,701094104,7999000.0,20507,2.4802177903457854,2023-07-25,2023-06-30,0001168889-23-000004
ADP,Automatic Data Proc,053015103,7982000.0,36315,2.4749466686510893,2023-07-25,2023-06-30,0001168889-23-000004
CIT,Cintas Corp,172908105,7653000.0,15396,2.372934960559607,2023-07-25,2023-06-30,0001168889-23-000004
POOL,Pool Corp,73278L105,7580000.0,20232,2.3503001438706157,2023-07-25,2023-06-30,0001168889-23-000004
HON,Honeywell Intl Inc,438516106,7384000.0,35585,2.2895272113905842,2023-07-25,2023-06-30,0001168889-23-000004
SPGI,S&P Global Inc,78409V104,7186000.0,17925,2.2281341469464704,2023-07-25,2023-06-30,0001168889-23-000004
APH,Amphenol Corp,032095101,7174000.0,84446,2.2244133551619782,2023-07-25,2023-06-30,0001168889-23-000004
ACN,Accenture PLC Cl A,G1151C101,7113000.0,23050,2.205499330257479,2023-07-25,2023-06-30,0001168889-23-000004
APD,Air Products & Chemicals,009158106,7096000.0,23691,2.2002282085627822,2023-07-25,2023-06-30,0001168889-23-000004
TMO,Thermo Fisher Scientific,883556102,6954000.0,13328,2.1561988391129634,2023-07-25,2023-06-30,0001168889-23-000004
AME,Ametek,031100100,6873000.0,42459,2.131083494567644,2023-07-25,2023-06-30,0001168889-23-000004
AKX,Ansys,03662Q105,6865000.0,20787,2.128602966711316,2023-07-25,2023-06-30,0001168889-23-000004
N/A,Quanta Svcs,74762e102,6716000.0,34186,2.0824031353872106,2023-07-25,2023-06-30,0001168889-23-000004
UNH,UnitedHealth Grp,91324P102,6707000.0,13955,2.079612541548842,2023-07-25,2023-06-30,0001168889-23-000004
SHW,Sherwin-Williams Co,824348106,6558000.0,24699,2.0334127102247357,2023-07-25,2023-06-30,0001168889-23-000004
COST,Costco Wholesale Co,22160K105,6035000.0,11210,1.8712482016173042,2023-07-25,2023-06-30,0001168889-23-000004
DHR,Danaher Corp,235851102,6013000.0,25055,1.8644267500124028,2023-07-25,2023-06-30,0001168889-23-000004
HD,Home Depot,437076102,5983000.0,19259,1.8551247705511733,2023-07-25,2023-06-30,0001168889-23-000004
