ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
MO,ALTRIA GROUP INC COM,02209S103,5381000.0,82288,4.190516241073445,2005-05-10,2005-03-31,0000948905-05-000012
WMT,WAL MART STORES INC,931142103,5219000.0,104150,4.064356859721671,2005-05-10,2005-03-31,0000948905-05-000012
GE,GENERAL ELEC CO,369604103,4931000.0,136744,3.8400735150962944,2005-05-10,2005-03-31,0000948905-05-000012
JNJ,JOHNSON & JOHNSON,478160104,4752000.0,70758,3.700675186318716,2005-05-10,2005-03-31,0000948905-05-000012
EMR,EMERSON ELEC CO,291011104,4126000.0,63542,3.213170416403835,2005-05-10,2005-03-31,0000948905-05-000012
PEP,PEPSICO INC,713448108,3476000.0,65549,2.706975367770172,2005-05-10,2005-03-31,0000948905-05-000012
XOM,EXXON CORPORATION,30231G102,2810000.0,47149,2.1883201333239883,2005-05-10,2005-03-31,0000948905-05-000012
ABT,ABBOTT LABS,002824100,2578000.0,55289,2.007647439042435,2005-05-10,2005-03-31,0000948905-05-000012
N/A,SIGMA ALDRICH CORP,826552101,2529000.0,41297,1.9694881199915895,2005-05-10,2005-03-31,0000948905-05-000012
CSCO,CISCO SYS INC,17275R102,2484000.0,138872,1.934443847393874,2005-05-10,2005-03-31,0000948905-05-000012
N/A,NEXTEL,65332V103,2408000.0,84724,1.8752579647843999,2005-05-10,2005-03-31,0000948905-05-000012
N/A,ANHEUSER BUSCH COS,035229103,2183000.0,46064,1.7000366017958242,2005-05-10,2005-03-31,0000948905-05-000012
N/A,MERCK & CO INC,589331107,2127000.0,65706,1.6564259514520012,2005-05-10,2005-03-31,0000948905-05-000012
HD,HOME DEPOT INC,437076102,2010000.0,52569,1.5653108426979416,2005-05-10,2005-03-31,0000948905-05-000012
KEY,KEYCORP,493267108,1999000.0,61590,1.5567444649518336,2005-05-10,2005-03-31,0000948905-05-000012
BMY,BRISTOL MYERS SQUIBB,110122108,1890000.0,74215,1.4718594491040347,2005-05-10,2005-03-31,0000948905-05-000012
PFE,PFIZER INC,717081103,1808000.0,68829,1.408000996814865,2005-05-10,2005-03-31,0000948905-05-000012
N/A,FIRST DATA CORP,319963104,1683000.0,42822,1.3106557951545452,2005-05-10,2005-03-31,0000948905-05-000012
N/A,BERKSHIRE HATHAWAY,084670207,1659000.0,581,1.291965516435764,2005-05-10,2005-03-31,0000948905-05-000012
N/A,AMERICAN PWR,029066107,1544000.0,59050,1.2024079309082696,2005-05-10,2005-03-31,0000948905-05-000012
KO,COCA COLA CO,191216100,1503000.0,36063,1.1704787047636847,2005-05-10,2005-03-31,0000948905-05-000012
MSFT,MICROSOFT CORP,594918104,1419000.0,58697,1.10506272924795,2005-05-10,2005-03-31,0000948905-05-000012
