ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
N/A,TESSERA TECHNOLOGIES,88164L100,103834000.0,5520160,33.69658341554598,2004-02-13,2003-12-31,0000921530-04-000077
N/A,INC KYPHON INC,501577100,98966000.0,3985748,32.11680253388026,2004-02-13,2003-12-31,0000921530-04-000077
N/A,ISTA PHARMACEUTICALS,45031X204,31747000.0,3421051,10.30265070875954,2004-02-13,2003-12-31,0000921530-04-000077
N/A,AXCAN PHARMA INC,054923107,24803000.0,1584837,8.04915883483047,2004-02-13,2003-12-31,0000921530-04-000077
N/A,INTUITIVE SURGICAL INC,46120E107,21615000.0,1264772,7.014577600083078,2004-02-13,2003-12-31,0000921530-04-000077
AMKR,AMKOR TECHNOLOGY INC,031652100,19954000.0,1100000,6.475543901552521,2004-02-13,2003-12-31,0000921530-04-000077
N/A,INC WYETH,983024100,2420000.0,57000,0.7853471104418714,2004-02-13,2003-12-31,0000921530-04-000077
FMCC,FEDERAL HOME LN MTG,313400301,1750000.0,30000,0.5679162988732541,2004-02-13,2003-12-31,0000921530-04-000077
PFE,SER 1 PFIZER INC,717081103,707000.0,20000,0.22943818474479463,2004-02-13,2003-12-31,0000921530-04-000077
LLY,LILLY ELI & CO,532457108,703000.0,10000,0.22814009034737007,2004-02-13,2003-12-31,0000921530-04-000077
N/A,BLACK & DECKER CORP,091797100,690000.0,14000,0.2239212835557402,2004-02-13,2003-12-31,0000921530-04-000077
N/A,EDT LEARNING INC,26841E107,675000.0,750000,0.219053429565398,2004-02-13,2003-12-31,0000921530-04-000077
N/A,CORP FINISAR,31787A101,231000.0,73712,0.07496495145126954,2004-02-13,2003-12-31,0000921530-04-000077
QQQ,NASDAQ 100 TR,631100104,49000.0,13699,0.015901656368451113,2004-02-13,2003-12-31,0000921530-04-000077
