ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
AAPL,APPLE INC,037833100,8615285000.0,60885408,5.351194946278792,2021-10-26,2021-09-30,0000850529-21-000008
MSFT,MICROSOFT CORP,594918104,7195876000.0,25524530,4.469560239185222,2021-10-26,2021-09-30,0000850529-21-000008
AMZN,AMAZON COM INC COM,023135106,6343928000.0,1931156,3.9403914615890856,2021-10-26,2021-09-30,0000850529-21-000008
VCIT,VANGUARD FDS INT-TERM CORP,92206C870,5220775000.0,55298960,3.2427696583059835,2021-10-26,2021-09-30,0000850529-21-000008
GOOGL,ALPHABET INC CLASS A,02079K305,4912542000.0,1837480,3.051317504154803,2021-10-26,2021-09-30,0000850529-21-000008
V,VISA INC,92826C839,4084701000.0,18337601,2.5371222598277283,2021-10-26,2021-09-30,0000850529-21-000008
CRM,SALESFORCE COM INC,79466L302,3772597000.0,13909728,2.3432657190965283,2021-10-26,2021-09-30,0000850529-21-000008
ADBE,ADOBE INC,00724F101,3704453000.0,6434469,2.3009395710446388,2021-10-26,2021-09-30,0000850529-21-000008
PYPL,PAYPAL HLDGS INC,70450Y103,3120644000.0,11992789,1.9383194406145863,2021-10-26,2021-09-30,0000850529-21-000008
N/A,ASML HOLDING N V NYS,N07059210,3055791000.0,4101127,1.8980374248889293,2021-10-26,2021-09-30,0000850529-21-000008
TSM,TAIWAN SEMICONDUCTOR MFG L ADR,874039100,2833630000.0,25379575,1.760047001999815,2021-10-26,2021-09-30,0000850529-21-000008
AXP,AMERICAN EXPRESS CO,025816109,2617545000.0,15624335,1.6258305529831367,2021-10-26,2021-09-30,0000850529-21-000008
META,FACEBOOK INC,30303M102,2576200000.0,7590677,1.6001500148403014,2021-10-26,2021-09-30,0000850529-21-000008
NFLX,NETFLIX INC COM,64110L106,2539372000.0,4160585,1.5772751119808421,2021-10-26,2021-09-30,0000850529-21-000008
HD,HOME DEPOT INC,437076102,2456701000.0,7484008,1.5259258371276234,2021-10-26,2021-09-30,0000850529-21-000008
TCEHY,TENCENT HLDGS LTD  ADR ADR,88032Q109,2246625000.0,37904611,1.3954417464057882,2021-10-26,2021-09-30,0000850529-21-000008
