ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
QNST,"QuinStreet, Inc",74874Q100,8273000.0,486357,6.281033147577326,2010-04-26,2010-03-31,0000911270-10-000004
DLB,"Dolby Laboratories, Inc.",25659T107,6380000.0,108745,4.843828294638383,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Advent Software,007974108,5424000.0,121214,4.118013271178462,2010-04-26,2010-03-31,0000911270-10-000004
AKAM,Akamai Technologies,00971T101,5340000.0,169950,4.054238729368176,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Linear Technology,535678106,5306000.0,187819,4.028425224349728,2010-04-26,2010-03-31,0000911270-10-000004
N/A,"SuccessFactors, Inc",864596101,4560000.0,239500,3.462046555415522,2010-04-26,2010-03-31,0000911270-10-000004
EA,Electronic Arts,285512109,4497000.0,241021,3.414215649057807,2010-04-26,2010-03-31,0000911270-10-000004
N/A,"Constant Contact, Inc",210313102,4460000.0,191678,3.386124481831848,2010-04-26,2010-03-31,0000911270-10-000004
LOGMEUR,LogMeIn,54142L109,4357000.0,210575,3.3079247460406638,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Compellent Technologies,20452A108,4328000.0,246605,3.2859073447013984,2010-04-26,2010-03-31,0000911270-10-000004
N/A,"Financial Engines, Inc.",317485100,4242000.0,251000,3.220614361419439,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Comverge Inc,205859101,4233000.0,374254,3.213781374796908,2010-04-26,2010-03-31,0000911270-10-000004
ADBE,Adobe Systems Inc,00724F101,4053000.0,114600,3.0771216423462957,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Isilon Systems,46432L104,3960000.0,460410,3.0065141139134792,2010-04-26,2010-03-31,0000911270-10-000004
CRM,Salesforce.com Inc.,79466L302,3900000.0,52385,2.9609608697632748,2010-04-26,2010-03-31,0000911270-10-000004
N2EUR,NetSuite Inc.,64118Q107,3797000.0,261125,2.882761133972091,2010-04-26,2010-03-31,0000911270-10-000004
FTNT,"Fortinet, Inc",34959E109,3747000.0,213125,2.8448000971802543,2010-04-26,2010-03-31,0000911270-10-000004
N/A,3PAR Inc,88580F109,3746000.0,374650,2.8440408764444176,2010-04-26,2010-03-31,0000911270-10-000004
ATVIEUR,"Activision Blizzard, Inc",00507V109,3477000.0,288550,2.639810498504335,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Neutral Tandem,64128B108,3467000.0,216975,2.6322182911459677,2010-04-26,2010-03-31,0000911270-10-000004
VMWEUR,VMWare,928563402,3378000.0,63375,2.564647645656498,2010-04-26,2010-03-31,0000911270-10-000004
IBM,IBM,459200101,2836000.0,22116,2.1531500068329863,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Google Inc,38259P508,2817000.0,4968,2.1387248128520886,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Informatica Corp.,45666Q102,2692000.0,100111,2.0438222208724963,2010-04-26,2010-03-31,0000911270-10-000004
GHDX,"Genomic Health, Inc",37244C101,2657000.0,151050,2.017249495118211,2010-04-26,2010-03-31,0000911270-10-000004
N/A,LoopNet,543524300,2601000.0,231400,1.9747331339113532,2010-04-26,2010-03-31,0000911270-10-000004
N/A,Berk. Hath. Class B,084670207,2475000.0,30450,1.8790713211959247,2010-04-26,2010-03-31,0000911270-10-000004
N/A,"Cavium Networks, Inc.",14965A101,2359000.0,94825,1.791001715838863,2010-04-26,2010-03-31,0000911270-10-000004
ABT,Abbott Laboratories,002824100,1844000.0,35000,1.4000030368829435,2010-04-26,2010-03-31,0000911270-10-000004
N/A,EMC Corporation,268648102,1755000.0,97278,1.3324323913934737,2010-04-26,2010-03-31,0000911270-10-000004
BRK/A,Berk. Hath. Class A,084670108,1705000.0,14,1.2944713546016369,2010-04-26,2010-03-31,0000911270-10-000004
EHTH,"eHealth, Inc.",28238P109,1240000.0,78711,0.9414337124375541,2010-04-26,2010-03-31,0000911270-10-000004
