ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS,192446102,213512000.0,2114397,12.407508241667244,2014-02-04,2013-12-31,0001140436-14-000001
N/A,GOOGLE INC. CL A,38259P508,173240000.0,154581,10.0672408472893,2014-02-04,2013-12-31,0001140436-14-000001
N/A,VISA INC COM CL A,92826c839,155823000.0,699762,9.055112390597788,2014-02-04,2013-12-31,0001140436-14-000001
N/A,EXPRESS SCRIPTS HLDGS CO.,30219g108,138361000.0,1969832,8.040368915214701,2014-02-04,2013-12-31,0001140436-14-000001
BEN,FRANKLIN RES INC,354613101,122755000.0,2126359,7.133480432977361,2014-02-04,2013-12-31,0001140436-14-000001
HP,HELMERICH & PAYNE INC COM,423452101,122487000.0,1456788,7.117906543880885,2014-02-04,2013-12-31,0001140436-14-000001
TJX,TJX COS. INC.,872540109,116947000.0,1835039,6.795968687185072,2014-02-04,2013-12-31,0001140436-14-000001
9990302D,APACHE CORP COM,037411105,112055000.0,1303877,6.511687099647902,2014-02-04,2013-12-31,0001140436-14-000001
PNC,PNC FINANCIAL SERVICES GROUP,693475105,109455000.0,1410869,6.360597130801492,2014-02-04,2013-12-31,0001140436-14-000001
N/A,ACCENTURE PLC,g1151c101,101745000.0,1237467,5.9125572616454045,2014-02-04,2013-12-31,0001140436-14-000001
EBA,EBAY INC COM,278642103,75693000.0,1379630,4.3986357738043695,2014-02-04,2013-12-31,0001140436-14-000001
N/A,PETSMART INC COM,716768106,61159000.0,840675,3.5540428479529345,2014-02-04,2013-12-31,0001140436-14-000001
FAST,FASTENAL CO COM,311900104,56951000.0,1198724,3.3095095445276668,2014-02-04,2013-12-31,0001140436-14-000001
JECUSD,JACOBS ENGR GROUP INC COM,469814107,56573000.0,898128,3.287543387518458,2014-02-04,2013-12-31,0001140436-14-000001
LUV,SOUTHWEST AIRLINES CO.,844741108,53421000.0,2835525,3.1043758560554244,2014-02-04,2013-12-31,0001140436-14-000001
N/A,UNITEDHEALTH GROUP INC,91324p102,48825000.0,648409,2.837295280356154,2014-02-04,2013-12-31,0001140436-14-000001
USB,US BANCORP,902973304,576000.0,14247,0.0334722392521279,2014-02-04,2013-12-31,0001140436-14-000001
PG,"PROCTER & GAMBLE CO., COM",742718109,565000.0,6945,0.03283301246085463,2014-02-04,2013-12-31,0001140436-14-000001
UTXZ,UNITED TECHNOLOGIES CORP,913017109,265000.0,2326,0.015399554517038009,2014-02-04,2013-12-31,0001140436-14-000001
XOM,EXXON MOBIL CORP,30231G102,215000.0,2127,0.012493978193068574,2014-02-04,2013-12-31,0001140436-14-000001
JNJ,JOHNSON & JOHNSON COM,478160104,206000.0,2247,0.011970974454754075,2014-02-04,2013-12-31,0001140436-14-000001
