ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
N/A,POWERSHARES QQQ TRUST,73935A954,152898000.0,1290500,37.89077698173338,2017-02-14,2016-12-31,0001062993-17-000883
N/A,ISHARES TR,464287955,121378000.0,900100,30.07957415066799,2017-02-14,2016-12-31,0001062993-17-000883
N/A,SPDR GOLD TRUST,78463V957,37629000.0,343300,9.325119014281714,2017-02-14,2016-12-31,0001062993-17-000883
SPY,SPDR S&P 500 ETF TR,78462F103,31480000.0,140831,7.8012901371173395,2017-02-14,2016-12-31,0001062993-17-000883
N/A,POWERSHARES QQQ TRUST,73935A104,21117000.0,178236,5.233158952525631,2017-02-14,2016-12-31,0001062993-17-000883
N/A,ISHARES SILVER TRUST,46428Q959,16260000.0,1076100,4.0295100898833525,2017-02-14,2016-12-31,0001062993-17-000883
IWM,ISHARES TR,464287655,14098000.0,104548,3.4937289819911137,2017-02-14,2016-12-31,0001062993-17-000883
N/A,BARCLAYS BK PLC,06740Q902,6875000.0,269500,1.7037442723215284,2017-02-14,2016-12-31,0001062993-17-000883
N/A,CME GROUP INC,12572Q955,1788000.0,15500,0.44309741947794795,2017-02-14,2016-12-31,0001062993-17-000883
