ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
ADT,ADT INC DEL,00090Q103,3398408496000.0,498300366,33.96841681034836,2024-02-14,2023-12-31,0001449434-24-000002
SUX,TD SYNNEX CORPORATION,87162W100,3056452103000.0,28403049,30.55042944889395,2024-02-14,2023-12-31,0001449434-24-000002
HGV,HILTON GRAND VACATIONS INC,43283X105,1217286249000.0,30295825,12.16725026794351,2024-02-14,2023-12-31,0001449434-24-000002
QQQ,INVESCO QQQ TR,46090E103,409520000000.0,1000000,4.093311933673397,2024-02-14,2023-12-31,0001449434-24-000002
HYG,ISHARES TR,464288513,386950000000.0,5000000,3.867715991245656,2024-02-14,2023-12-31,0001449434-24-000002
RXT,RACKSPACE TECHNOLOGY INC,750102105,259218000000.0,129609000,2.5909848916364293,2024-02-14,2023-12-31,0001449434-24-000002
SNCY,SUN CTRY AIRLS HLDGS INC,866683105,179203978000.0,11392497,1.7912135712764818,2024-02-14,2023-12-31,0001449434-24-000002
GBTG,GLOBAL BUSINESS TRAVEL GROUP,37890B100,165809421000.0,25706887,1.6573297560431146,2024-02-14,2023-12-31,0001449434-24-000002
URI,UNITED RENTALS INC,911363109,154823400000.0,270000,1.5475201964052787,2024-02-14,2023-12-31,0001449434-24-000002
COF,CAPITAL ONE FINL CORP,14040H105,142396320000.0,1086000,1.4233066906797611,2024-02-14,2023-12-31,0001449434-24-000002
PTON 0 02/15/26,PELOTON INTERACTIVE INC,70614WAB6,111307005000.0,143275000,1.1125568760205715,2024-02-14,2023-12-31,0001449434-24-000002
LNC,LINCOLN NATL CORP IND,534187109,101676900000.0,3770000,1.0163002250168895,2024-02-14,2023-12-31,0001449434-24-000002
SABR,SABRE CORP,78573M104,63363604000.0,14400819,0.6333439060699242,2024-02-14,2023-12-31,0001449434-24-000002
MFIC,MIDCAP FINANCIAL INVSTMNT CO,03761U502,34066210000.0,2490220,0.34050503987112724,2024-02-14,2023-12-31,0001449434-24-000002
CWEN,CLEARWAY ENERGY INC,18539C204,32616986000.0,1189099,0.3260194814276668,2024-02-14,2023-12-31,0001449434-24-000002
IWM,ISHARES TR,464287655,30106500000.0,150000,0.30092619586622904,2024-02-14,2023-12-31,0001449434-24-000002
TRGP,TARGA RES CORP,87612G101,29574110000.0,340441,0.2956047504169998,2024-02-14,2023-12-31,0001449434-24-000002
GCI,GANNETT CO INC,36472T109,26654758000.0,11589025,0.2664246899066625,2024-02-14,2023-12-31,0001449434-24-000002
FLR,FLUOR CORP NEW,343412102,26439750000.0,675000,0.2642756011875884,2024-02-14,2023-12-31,0001449434-24-000002
N/A,ALLEGO N V,N0796A100,25254435000.0,18706989,0.2524279160082026,2024-02-14,2023-12-31,0001449434-24-000002
VICI,VICI PPTYS INC,925652109,19383104000.0,608002,0.19374167541226936,2024-02-14,2023-12-31,0001449434-24-000002
N/A,NABORS INDUSTRIES LTD,G6359F137,16619950000.0,203601,0.16612287476083018,2024-02-14,2023-12-31,0001449434-24-000002
N/A,ALPHA PARTNERS TECH MERGR CO,G63290111,13845800000.0,1294000,0.13839416480576067,2024-02-14,2023-12-31,0001449434-24-000002
REAL 1 03/01/28,THE REALREAL INC,88339PAD3,13548070000.0,39128000,0.13541823747128964,2024-02-14,2023-12-31,0001449434-24-000002
