ticker,nameOfIssuer,cusip,value,shares,allocation_percent
APH,AMPHENOL CORP NEW,032095101,94883543000.0,960846,6.883194956719324
FI,FISERV INC,337738108,73345455000.0,425413,5.3207442512373735
AME,AMETEK INC,031100100,64369282000.0,355710,4.669580237218208
AJG,GALLAGHER ARTHUR J & CO,363576109,56333757000.0,175977,4.086654227018609
VRT,VERTIV HOLDINGS CO,92537N108,51066217000.0,397681,3.7045278475018013
VRSK,VERISK ANALYTICS INC,92345Y106,49508253000.0,158935,3.5915075111137487
ROP,ROPER TECHNOLOGIES INC,776696106,48879180000.0,86231,3.5458722832954925
ATR,APTARGROUP INC,038336103,47405173000.0,303044,3.4389424909650255
IEX,IDEX CORP,45167R104,42372591000.0,241343,3.073860813506201
FIX,COMFORT SYS USA INC,199908104,41266722000.0,76960,2.9936370815193776
DHR,DANAHER CORPORATION,235851102,40286939000.0,203943,2.9225600834325824
XYL,XYLEM INC,98419M100,40219964000.0,310915,2.917701474999018
GGG,GRACO INC,384109104,37486273000.0,436039,2.7193896549563266
RBC,RBC BEARINGS INC,75524B104,34498859000.0,89654,2.5026718519709057
FAST,FASTENAL CO,311900104,32167758000.0,765899,2.3335653648027
AIZ,ASSURANT INC,04621X108,29931189000.0,151558,2.1713165703921162
DCI,DONALDSON INC,257651109,29626043000.0,427196,2.1491801772742596
NDSN,NORDSON CORP,655663102,29310810000.0,136730,2.126312036739167
FIS,FIDELITY NATL INFORMATION SV,31620M106,28474965000.0,349772,2.065676821119119
CHD,CHURCH & DWIGHT CO INC,171340102,27440366000.0,285510,1.990623272380674
RPM,RPM INTL INC,749685103,26273348000.0,239197,1.9059635710455263
CSW,CSW INDUSTRIALS INC,126402106,25911075000.0,90336,1.8796829789880016
LSTR,LANDSTAR SYS INC,515098101,25025546000.0,180014,1.81544350653461
CLH,CLEAN HARBORS INC,184496107,24738803000.0,107011,1.7946421335138474
UFPT,UFP TECHNOLOGIES INC,902673102,24149866000.0,98910,1.7519185161187274
MSA,MSA SAFETY INC,553498106,23005890000.0,137324,1.6689303646981175
KAI,KADANT INC,48282T104,17881641000.0,56329,1.2971988319309018
FCN,FTI CONSULTING INC,302941109,17160506000.0,106257,1.2448850940773966
TMO,THERMO FISHER SCIENTIFIC INC,883556102,16287328000.0,40170,1.18154160777948
NVT,NVENT ELECTRIC PLC,G6700G107,15361770000.0,209717,1.114398287069468
PRGS,PROGRESS SOFTWARE CORP,743312100,14531644000.0,227626,1.0541779483681446
AIT,APPLIED INDL TECHNOLOGIES IN,03820C105,14211296000.0,61137,1.0309387472561549
BSV,VANGUARD BD INDEX FDS,921937827,13699818000.0,174076,0.9938342855259168
WINA,WINMARK CORP,974250102,12762085000.0,33797,0.9258077463361938
FTV,FORTIVE CORP,34959J108,11144299000.0,213779,0.8084477059733342
MUSA,MURPHY USA INC,626755102,10756199000.0,26441,0.7802935300410255
COST,COSTCO WHSL CORP NEW,22160K105,9972065000.0,10073,0.723409617156447
ECL,ECOLAB INC,278865100,9111114000.0,33815,0.6609531216060811
MMSI,MERIT MED SYS INC,589889104,8783942000.0,93966,0.6372188828837795
VCSH,VANGUARD SCOTTSDALE FDS,92206C409,7556340000.0,95048,0.5481641993412546
SPGI,S&P GLOBAL INC,78409V104,7546574000.0,14312,0.547455738423566
CNMD,CONMED CORP,207410101,7280524000.0,139795,0.5281555103720568
JPM,JPMORGAN CHASE & CO.,46625H100,6394545000.0,22057,0.46388339329313166
MSFT,MICROSOFT CORP,594918104,6117347000.0,12298,0.44377444905174007
VLTO,VERALTO CORP,92338C103,5589602000.0,55370,0.4054899203802734
LRN,STRIDE INC,86333M108,5409199000.0,37256,0.3924028350911307
MOD,MODINE MFG CO,607828100,5255369000.0,53354,0.38124345121154546
XOM,EXXON MOBIL CORP,30231G102,4042284000.0,37498,0.2932418832887302
ADP,AUTOMATIC DATA PROCESSING IN,053015103,3987920000.0,12931,0.2892981223498381
PNR,PENTAIR PLC,G7S00T104,3892354000.0,37915,0.2823654194971017
AAPL,APPLE INC,037833100,3765526000.0,18353,0.27316485823674913
RAL,RALLIANT CORP,750940108,3455072000.0,71253,0.25064340362482196
ABT,ABBOTT LABS,002824100,3453294000.0,25390,0.2505144210821586
BND,VANGUARD BD INDEX FDS,921937835,3401706000.0,46200,0.24677204121100185
WAT,WATERS CORP,941848103,3103315000.0,8891,0.22512568019420848
VGSH,VANGUARD SCOTTSDALE FDS,92206C102,3086244000.0,52505,0.2238872881886933
ABBV,ABBVIE INC,00287Y109,3026905000.0,16307,0.21958262277862567
USB,US BANCORP DEL,902973304,2701244000.0,59696,0.19595799745450415
VUSB,VANGUARD BD INDEX FDS,92203C303,2692112000.0,53988,0.19529552918701162
JNJ,JOHNSON & JOHNSON,478160104,2475008000.0,16203,0.1795460207829716
ITW,ILLINOIS TOOL WKS INC,452308109,2363957000.0,9561,0.1714899800938224
SNA,SNAP ON INC,833034101,2233028000.0,7176,0.1619919174794415
PG,PROCTER AND GAMBLE CO,742718109,2179705000.0,13681,0.15812367444095016
WMT,WALMART INC,931142103,2120863000.0,21690,0.15385506320619388
GNRC,GENERAC HLDGS INC,368736104,2081271000.0,14533,0.1509829165081471
RRX,REGAL REXNORD CORPORATION,758750103,1987402000.0,13710,0.14417332016547799
CBSH,COMMERCE BANCSHARES INC,200525103,1875545000.0,30168,0.13605880932481773
AMGN,AMGEN INC,031162100,1779652000.0,6374,0.12910238471086033
RSP,INVESCO EXCHANGE TRADED FD T,46137V357,1709636000.0,9407,0.12402317115230192
WAB,WABTEC,929740108,1687361000.0,8060,0.12240726218839525
MU,MICRON TECHNOLOGY INC,595112103,1555662000.0,12622,0.11285334099254596
ZBRA,ZEBRA TECHNOLOGIES CORPORATI,989207105,1545500000.0,5012,0.11211615280438796
VNT,VONTIER CORPORATION,928881101,1488657000.0,40343,0.10799255625061259
BRK/A,BERKSHIRE HATHAWAY INC DEL,084670108,1457600000.0,2,0.10573956928351723
TFX,TELEFLEX INCORPORATED,879369106,1354985000.0,11448,0.09829550650770211
SPY,SPDR S&P 500 ETF TR,78462F103,1311303000.0,2122,0.09512665643536224
ETN,EATON CORP PLC,G29183103,1225904000.0,3434,0.08893150448884529
RTX,RTX CORPORATION,75513E101,1199408000.0,8214,0.0870093889374347
ROST,ROSS STORES INC,778296103,1173736000.0,9200,0.08514704932255653
WFC,WELLS FARGO CO NEW,949746101,1148761000.0,14338,0.08333527260544905
IBM,INTERNATIONAL BUSINESS MACHS,459200101,1082432000.0,3672,0.0785235273454282
BIV,VANGUARD BD INDEX FDS,921937819,1064044000.0,13758,0.0771895954025184
HD,HOME DEPOT INC,437076102,1051890000.0,2869,0.07630790033866557
COF,CAPITAL ONE FINL CORP,14040H105,989547000.0,4651,0.07178531391725892
V,VISA INC,92826C839,866677000.0,2441,0.06287188027437628
VTI,VANGUARD INDEX FDS,922908769,836111000.0,2751,0.06065451222091855
CAT,CATERPILLAR INC,149123101,835997000.0,2153,0.06064624224911674
AWC,AMERICAN WTR WKS CO INC NEW,030420103,820749000.0,5900,0.05954009724881825
BRK/B,BERKSHIRE HATHAWAY INC DEL,084670702,805407000.0,1658,0.05842713314896388
FITB,FIFTH THIRD BANCORP,316773100,748566000.0,18200,0.054303681682413125
MTB,M & T BK CORP,55261F104,734640000.0,3787,0.05329343933757073
AMAT,APPLIED MATLS INC,038222105,734111000.0,4010,0.05325506376666583
TSA,ACI WORLDWIDE INC,004498101,719088000.0,15663,0.052165241079134075
MCD,MCDONALDS CORP,580135101,703545000.0,2408,0.051037695713208105
SIGI,SELECTIVE INS GROUP INC,816300107,697706000.0,8052,0.050614113561008284
PEP,PEPSICO INC,713448108,675913000.0,5119,0.04903317061822858
LLY,ELI LILLY & CO,532457108,657923000.0,844,0.04772811103301284
RY,ROYAL BK CDA,780087102,624731000.0,4749,0.04532024345366424
HON,HONEYWELL INTL INC,438516106,599899000.0,2576,0.04351884047311519
VOO,VANGUARD INDEX FDS,922908363,585071000.0,1030,0.04244316378998128
GBCI,GLACIER BANCORP INC NEW,37637Q105,562280000.0,13052,0.040789822322129576
KO,COCA COLA CO,191216100,557054000.0,7874,0.04041070940426757
CNI,CANADIAN NATL RY CO,136375102,546210000.0,5250,0.039624046472523294
NFLX,NETFLIX INC,64110L106,535652000.0,400,0.03885813101389584
CHRW,C H ROBINSON WORLDWIDE INC,12541W209,527725000.0,5500,0.03828307779922072
MSM,MSC INDL DIRECT INC,553530106,527379000.0,6203,0.038257977709366106
AXP,AMERICAN EXPRESS CO,025816109,524868000.0,1645,0.03807582069888935
TSLA,TESLA INC,88160R101,523504000.0,1648,0.0379768712117168
BDX,BECTON DICKINSON & CO,075887109,522951000.0,3036,0.03793675459411678
CARR,CARRIER GLOBAL CORPORATION,14448C104,521845000.0,7130,0.03785652135891675
DGX,QUEST DIAGNOSTICS INC,74834L100,520927000.0,2900,0.037789926322828474
PNC,PNC FINL SVCS GROUP INC,693475105,509672000.0,2734,0.036973447966430296
TRV,TRAVELERS COMPANIES INC,89417E109,500300000.0,1870,0.0362935692319866
NVDA,NVIDIA CORPORATION,67066G104,488189000.0,3090,0.03541499354346254
QQQ,INVESCO QQQ TR,46090E103,480478000.0,871,0.03485560974904349
UNP,UNION PAC CORP,907818108,476496000.0,2071,0.03456674108487845
EMR,EMERSON ELEC CO,291011104,439989000.0,3300,0.03191839143076665
PAYX,PAYCHEX INC,704326107,411070000.0,2826,0.029820502706761405
AMZN,AMAZON COM INC,023135106,376254000.0,1715,0.027294824301043144
CSCO,CISCO SYS INC,17275R102,372693000.0,5372,0.027036496497654973
MA,MASTERCARD INCORPORATED,57636Q104,354022000.0,630,0.025682034712465242
GE,GE AEROSPACE,369604301,345417000.0,1342,0.02505779692865304
GOOGL,ALPHABET INC,02079K305,334837000.0,1900,0.024290285510555062
HSIC,HENRY SCHEIN INC,806407102,328725000.0,4500,0.023846898952198273
CVX,CHEVRON CORP NEW,166764100,328048000.0,2291,0.023797786926673475
RSG,REPUBLIC SVCS INC,760759100,323059000.0,1310,0.023435866844925764
WRB,BERKLEY W R CORP,084423102,312394000.0,4252,0.022662189219782573
SYK,STRYKER CORPORATION,863667101,293162000.0,741,0.021267030468094455
MIDD,MIDDLEBY CORP,596278101,288720000.0,2005,0.02094479174227298
MRK,MERCK & CO INC,58933Y105,288222000.0,3641,0.020908665023349277
PRU,PRUDENTIAL FINL INC,744320102,283642000.0,2640,0.02057641527903087
BAC,BANK AMERICA CORP,060505104,276491000.0,5843,0.020057655907497914
