ticker,nameOfIssuer,cusip,value,shares,allocation_percent
LOAR,LOAR HOLDINGS INC,53947R105,2761769181000.0,32050240,45.17276757205633
LAD,LITHIA MTRS INC,536797103,825861122000.0,2444678,13.508164537267916
AWG,ASBURY AUTOMOTIVE GROUP INC,043436104,502971132000.0,2108540,8.226827280715487
TPD,SOMNIGROUP INTERNATIONAL INC,88023U101,397768990000.0,5845246,6.506092636653838
CPNG,COUPANG INC,22266T109,390018201000.0,13017964,6.379317165189463
GOOGL,ALPHABET INC,02079K305,374335430000.0,2124130,6.122802546175477
META,META PLATFORMS INC,30303M102,291364718000.0,394755,4.765695401143567
N/A,WILLIS TOWERS WATSON PLC LTD,G96629103,220918764000.0,720779,3.613448961315629
UHAL/B,U HAUL HOLDING COMPANY,023586506,176782370000.0,3251469,2.89153379137779
ET,ENERGY TRANSFER L P,29273V100,112510737000.0,6205777,1.840277386983325
CRCL,CIRCLE INTERNET GROUP INC,172573107,49854750000.0,275000,0.8154472320157936
NUVB,NUVATION BIO INC,67080N101,7432450000.0,3811513,0.12156857229443103
UHAL,U HAUL HOLDING COMPANY,023586100,2204445000.0,36401,0.036056916810956956
