ticker,nameOfIssuer,cusip,value,shares,allocation_percent
APP,AppLovin Corp - Cl A (app),03831W108,130698394000.0,253670,26.463650675259526
KGS,"Kodiak Gas Services, Inc. (kgs",50012A108,45783771000.0,609394,9.270241854234854
AAPL,Apple Inc (aapl),037833100,39983007000.0,138177,8.095710267063087
TSM,Taiwan Semiconductor (tsm),874039100,26597699000.0,55694,5.385469503945853
MSFT,Microsoft Corp (msft),594918104,21326141000.0,57172,4.318090899229641
AAAU,Goldman Sachs Physical Gold (a,38150K103,15048313000.0,380296,3.0469639778738724
JPM,Jpmorgan Chase & Co (jpm),46625H100,11341271000.0,34648,2.2963666558707008
IBN,Icici Bank (ibn),45104G104,10698093000.0,368519,2.166136762502523
SLV,Ishares Silver Trust(slv),46428Q109,10693840000.0,199997,2.16527562027363
ASML,Asml Holding Nv (asml),N07059210,9453916000.0,4752,1.9142173280051693
MRK,Merck & Co (mrk),58933Y105,9336118000.0,72655,1.8903657333004613
SHEL,Shell PLC (shel),780259305,8540080000.0,110138,1.7291849344282715
MFG,"Mizuho Financial Group, Inc. (",60687Y109,7830539000.0,817384,1.5855179421332144
N/A,TotalEnergies SE (tte),F92124100,7215270000.0,92789,1.4609390288887545
MUFG,Mitsubishi UFJ ADR (mufg),606822104,6891900000.0,346501,1.3954634675068855
SMFG,Sumitomo Mit Adr Rep 1/5Th Of,86562M209,6190149000.0,262517,1.2533737848669133
GILD,Gilead Sciences Inc (gild),375558103,6125531000.0,48484,1.240290011401924
MU,Micron Technology Inc (mu),595112103,5984994000.0,5185,1.2118342518388114
UTHR,United Therapeutics Corp (uthr,91307C102,5359782000.0,9892,1.08524209213729
BHP,Bhp Group Ltd.Spon Adr (bhp),088606108,5273023000.0,63294,1.0676752361211799
ECL,Ecolab Inc (ecl),278865100,5149055000.0,18481,1.042574347376437
FCX,Freeport-Mcmoran (fcx),35671D857,5020446000.0,79829,1.0165337546382092
HALO,Halozyme Therapeutics Inc,40637H109,4829807000.0,61707,0.9779334035039725
REGN,Regeneron Pharmaceuticals (reg,75886F107,4292481000.0,6884,0.8691362933976732
BRK/B,Berkshire Hathaway (brk/b),084670702,3703386000.0,7401,0.749857059602788
GOOG,Alphabet Inc-Cl C (goog),02079K107,3679225000.0,10413,0.7449649699267287
CSX,Csx Corp (csx),126408103,3532577000.0,74323,0.7152718625712897
GLD,Spdr Gold Tr Spdr (gld),78463V107,3130862000.0,8499,0.633933101583822
RTX,Raytheon Technologies (rtx),75513E101,3073247000.0,16198,0.6222672869782111
MDT,Medtronic Plc (mdt),G5960L103,3023153000.0,38644,0.6121243152372848
CG,The Carlyle Group Inc (cg),14316J108,2609647000.0,61972,0.5283981270170695
NVDA,Nvidia Corp (nvda),67066G104,2570556000.0,12847,0.5204830292344099
AMGN,Amgen Inc (amgn),031162100,2495007000.0,6890,0.5051859602829339
LMT,Lockheed Martin (lmt),539830109,2016443000.0,3958,0.40828690793685146
SNY,Sanofi-Aventis (sny),80105N105,1882714000.0,44133,0.38120962387204665
FNV,Franco Nevada Corp (fnv),351858105,1834272000.0,8800,0.3714011470669612
XOM,Exxon Mobil Corporation (xom),30231G102,1755758000.0,12842,0.35550372854843426
V,Visa Inc-Class A Shares (v),92826C839,1635510000.0,4767,0.3311560608456574
NVO,Novo-Nordisk (nvo),670100205,1631972000.0,34042,0.3304396909406908
IWV,iShares Russell 3000 ETF (iwv,464287689,1583650000.0,3714,0.32065551158857203
WMT,Wal-Mart Stores Inc (wmt),931142103,1568538000.0,13849,0.3175956523449724
LLY,Eli Lilly & Co (lly),532457108,1523276000.0,1270,0.30843105804350307
LOW,Lowes Cos (low),548661107,1437815000.0,6521,0.29112701947698205
BAC,Bank Of America Corp (bac),060505104,1411850000.0,24778,0.2858696580913241
AMZN,Amazon.Com Inc (amzn),023135106,1386404000.0,5817,0.2807173831897468
IAT,iShares U.S. Regional Banks ET,464288778,1244200000.0,20000,0.25192409150917267
AMT,American Tower Corp (amt),03027X100,1177377000.0,7198,0.2383938523459212
PEP,Pepsico Inc (pep),713448108,1156993000.0,8545,0.23426652500198697
NFLX,Netflix Com Inc (nflx),64110L106,1155252000.0,16180,0.23391400945519586
BX,Blackstone Inc (bx),09260D107,1146106000.0,9740,0.23206213858158803
GOOGL,Alphabet Inc-Cl A (googl),02079K305,1013859000.0,2837,0.20528492806092127
CAH,Cardinal Health Inc (cah),14149Y108,992051000.0,4176,0.20086927094178286
CRM,Salesforce.Com Inc (crm),79466L302,975365000.0,6226,0.19749071010677077
MA,Mastercard Inc - A (ma),57636Q104,927048000.0,1805,0.18770754314852556
META,"Meta Platforms, Inc (meta)",30303M102,893941000.0,1587,0.1810040783538027
JNJ,Johnson & Johnson (jnj),478160104,871880000.0,3433,0.1765371941046596
PSX,Phillips 66 (psx),718546104,847448000.0,5013,0.1715902326806505
CHT,Chunghwa Telecm (cht),17133Q502,781587000.0,17659,0.15825477809868166
INTC,Intel Corp (intc),458140100,755398000.0,5410,0.15295206146748594
CSCO,Cisco Systems Inc (csco),17275R102,747750000.0,6366,0.15140350379841172
MPLX,Mplx Lp,55336V100,736458000.0,13074,0.14911711347425033
AGG,"Ishares Core U.S, Aggregate (a",464287226,697710000.0,7049,0.14127146591132042
AVGO,Broadcom Ltd (avgo),11135F101,689771000.0,1826,0.13966398691880208
AXP,American Express Co (axp),025816109,674809000.0,1995,0.13663449949141077
EMR,Emerson Electric Co (emr),291011104,651762000.0,4553,0.13196797117039172
WMB,Williams Co (wmb),969457100,632485000.0,8508,0.1280647878300748
FOX,Fox Corporation,35137L204,618569000.0,13206,0.12524709320104277
IJH,Ishares Core S&P Midcap etf (i,464287507,617651000.0,8010,0.12506121768584794
IRM,Iron Mountain Inc (irm),46284V101,542754000.0,4297,0.10989616489549069
YUM,YUM! Brands (yum),988498101,503079000.0,3147,0.1018628195083934
VCSH,Vanguard ST Corp Bond (vcsh),92206C409,489275000.0,6191,0.09906780250213024
NRG,NRG Energy Inc (nrg),629377508,478931000.0,3279,0.09697336205640537
SPY,Spdr S&P 500 ETF Tr (spy),78462F103,473452000.0,634,0.09586398084970327
MO,Altria Group Inc (mo),02209S103,470841000.0,6544,0.095335308768904
IEMG,iShares Core MSCI EM (iemg),46434G103,463241000.0,5592,0.09379647008101644
TRMK,Trustmark Corp (trmk),898402102,439027000.0,9542,0.08889364902989676
U,Unity Software Inc (u),91332U101,428700000.0,15000,0.08680265072334216
TSLA,Tesla Inc (tsla),88160R101,423124000.0,1006,0.08567362907549202
MODG,Callaway Golf Co (caly),131193104,414376000.0,22053,0.08390234475422353
MPC,Marathon Petroleum,56585A102,412396000.0,1613,0.08350143678027389
SPTI,Spdr Series Trust State Street,78464A672,403706000.0,14220,0.08174189622793929
SHG,Shinhan Finl Grp Ltd Sp Adr (s,824596100,402396000.0,6362,0.08147664903305339
OMAB,Grupo Aeroportuario Cen ADR (o,400501102,382923000.0,3386,0.07753377985289095
SPG,Simon Property Group Inc (spg),828806109,382665000.0,1711,0.07748154032901267
BTI,British American Tob (bti),110448107,368645000.0,5969,0.07464278790740954
AMD,Advanced Micro Devices (amd),007903107,360164000.0,620,0.07292556541899185
NEM,Newmont Corp (nem),651639106,349223000.0,3739,0.07071024514475792
BP,BP Plc (bp),055622104,347034000.0,9392,0.07026701910689136
PG,Procter & Gamble Co/The (pg),742718109,346950000.0,2366,0.0702500108898147
KO,Coca-Cola Co/The (ko),191216100,343691000.0,4229,0.06959013256299555
EFA,Ishares Msci Eafe Index (efa),464287465,319223000.0,3073,0.06463588190309646
RF,Regions Financial Corp (rf),7591EP100,319184000.0,10569,0.06462798523088231
DVY,Ishares Select Div (dvy),464287168,312554000.0,2000,0.06328555095447512
HD,Home Depot Inc (hd),437076102,289198000.0,820,0.05855645669206696
AU,Anglogold Ashanti Ltd (au),G0378L100,282630000.0,3494,0.05722657609969255
B,Barrick Mining Corp (b),06849F108,271802000.0,7400,0.0550341359270022
BAC,Verizon Communications Inc (vz,92343V104,268901000.0,6351,0.05444674500153354
IEUR,iShares Core MSCI Eur (ieur),46434V738,266853000.0,3550,0.05403206847090279
EE,Excelerate Energy Inc (ee),30069T101,265930000.0,7000,0.05384518056183434
AIVL,WisdomTree US AI Enhanced Valu,97717W406,260589000.0,1987,0.05276374142604388
SYK,Stryker Corp (syk),863667101,244631000.0,777,0.04953258513902943
DVN,Devon Energy (dvn),25179M103,242796000.0,5876,0.049161036587414476
AMAT,Applied Materials (amat),038222105,242205000.0,335,0.04904137163155373
BBJP,JPMorgan BetaBuilders Japan ET,46641Q217,239410000.0,3179,0.048475443456205615
SDY,SPDR S&P Dividend (sdy),78464A763,237658000.0,1562,0.04812070064289258
TFC,Truist Financial Corp (tfc),89832Q109,234005000.0,4697,0.04738104567883294
WPM,Wheaton Precious Metals (wpm),962879102,233064000.0,2075,0.04719051315181949
PANW,Palo Alto Networks Inc (panw),697435105,232917000.0,683,0.04716074877193535
CQQQ,Invesco ETF TR II China Tech (,46138E800,232283000.0,4073,0.04703237722876157
FAF,First American Financial Corp,31847R102,229639000.0,3348,0.04649702334839648
UL,Unilever Plc (ul),904767704,228696000.0,3804,0.04630608586383359
DGX,Quest Diagnostics Inc (dgx),74834L100,225939000.0,1066,0.0457478518819249
USB,US Bancorp (usb),902973304,223178000.0,3695,0.045188807984917326
RDY,Dr Reddys Labs (rdy),256135203,213148000.0,14710,0.04315794587445518
PBR/A,Petroleo Brasil-Sp Pref ADR (p,71654V101,212441000.0,14511,0.04301479338072669
SMA,"SmartStop Self Storage REIT, I",83192D402,211640000.0,6512,0.04285260788217433
AES,AES Corp (aes),00130H105,209902000.0,14318,0.04250069977170741
QQQ,Powershares QQQ Trust Ser (qqq,46090E103,209138000.0,284,0.04234600598781976
LRCX,Lam Research Corp (lrcx),512807306,201932000.0,466,0.04088694393717268
PAAS,Pan American Silver Corp (paas,697900108,201555000.0,4500,0.040810609439102474
WIT,Wipro Ltd-ADR (wit),97651M109,134341000.0,59707,0.02720120107493471
