ticker,nameOfIssuer,cusip,value,shares,allocation_percent
EXTR,Extreme Networks,30226D106,54558016000.0,1685450,7.344768472235039
LPX,Louisiana-Pacific Corp,546347105,45441725000.0,577698,6.117505246231366
BOOT,Boot Barn Holdings Inc,099406100,44122758000.0,268599,5.939941838545895
MUSA,Murphy USA Inc.,626755102,43089123000.0,79962,5.80079070519459
CXT,Crane NXT,224441105,42420951000.0,829182,5.710839328670373
DAR,Darling Ingredients Inc.,237266101,41691719000.0,763305,5.61266786652364
LOB,Live Oak Bancshares Inc,53803X105,38175231000.0,934751,5.139267400579407
AGCO,AGCO Corp.,001084102,36565118000.0,305473,4.92250901993859
USPH,US Physical Therapy Inc,90337L108,36246900000.0,527765,4.879669530802884
DORM,Dorman Products Inc,258278100,35938610000.0,263383,4.83816657966358
MSA,MSA Safety Inc,553498106,34855595000.0,199654,4.692367758332584
AWI,Armstrong World Industries Inc,04247X102,32224368000.0,200875,4.338143859998496
EPAC,Enerpac Tool Group,292765104,30487527000.0,850182,4.104324964933008
BCO,The Brink's Co.,109696104,30288014000.0,320542,4.07746590920413
CSW,CSW Industrials,126402106,26354453000.0,94698,3.547917788971654
SAM,The Boston Beer Co Inc,100557107,23346185000.0,131877,3.1429354677224075
MOD,Modine Manufacturing Co,607828100,20454533000.0,76603,2.7536523522536305
NGVT,Ingevity Corp,45688C107,18238894000.0,244260,2.4553761929252857
THO,Thor Industries Inc.,885160101,17961060000.0,238971,2.4179733224888875
KAI,Kadant Inc,48282T104,15297031000.0,48681,2.0593335176924694
AEIS,Advanced Energy Industries Inc,007973100,14423730000.0,38683,1.9417670421891935
GNRC,Generac Holdings Inc,368736104,11822789000.0,40377,1.5916203386334142
APG,APi Group,00187Y100,10367153000.0,244797,1.3956581284267542
VMI,Valmont Industries Inc,920253101,7855938000.0,13601,1.0575906158727104
WSO,Watsco Inc,942622200,7439881000.0,17853,1.0015797386396985
OSK,Oshkosh Corp,688239201,6650595000.0,43332,0.8953236216948209
BR,Broadridge Financial Solutions,11133T103,5943082000.0,43396,0.800076038349847
SEIC,SEI Investments Co,784117103,5584583000.0,63671,0.7518137966926761
FND,Floor & Decor Holdings,339750101,4969085000.0,83711,0.668953556592968
