ticker,nameOfIssuer,cusip,value,shares,allocation_percent
UNH,UNITEDHEALTH GROUP INC,91324P102,634316697000.0,1526157,14.873148451699421
PGR,PROGRESSIVE CORP,743315103,470363489000.0,2153186,11.028853617196031
AZO,AUTOZONE INC,053332102,435840725000.0,136373,10.219380689298337
V,VISA INC,92826C839,354903450000.0,1034433,8.321602951388623
ACGL,ARCH CAP GROUP LTD,G0450A105,323319956000.0,3331135,7.5810485924902675
MA,MASTERCARD INCORPORATED,57636Q104,293927923000.0,572290,6.891878541987485
EXPD,EXPEDITORS INTL WASH INC,302130109,253265083000.0,1553964,5.938436107556815
ORLY,OREILLY AUTOMOTIVE INC,67103H107,252368685000.0,2740457,5.917417804572105
MCO,MOODYS CORP,615369105,191497359000.0,422806,4.490136649383169
DPZ,DOMINOS PIZZA INC,25754A201,189033792000.0,638541,4.432372132250006
NKE,NIKE INC,654106103,178313647000.0,4343816,4.181011402250582
NVR,NVR INC,62944T105,137228689000.0,20141,3.2176713508916066
TJX,TJX COS INC NEW,872540109,132224596000.0,872770,3.100337819538718
ROST,ROSS STORES INC,778296103,126795641000.0,595704,2.9730423312842196
DIS,DISNEY WALT CO,254687106,124945168000.0,1298132,2.9296533431572658
FAST,FASTENAL CO,311900104,123668417000.0,2574816,2.8997167085886573
STRA,STRATEGIC ED INC,86272C103,42831474000.0,559012,1.0042915064666886
