ticker,nameOfIssuer,cusip,value,shares,allocation_percent
ACWI,ISHARES TR,464288257,40598185000.0,293679,38.943548773656474
CRWD,CROWDSTRIKE HLDGS INC,22788C105,15919696000.0,32464,15.27086636108939
PATH,UIPATH INC,90364P105,13509572000.0,1009684,12.958970360207575
NVDA,NVIDIA CORPORATION,67066G104,3658834000.0,19610,3.509713065589326
UBER,UBER TECHNOLOGIES INC,90353T100,2875811000.0,29354,2.7586032711146515
NTRA,NATERA INC,632307104,2541394000.0,15788,2.4378159070923466
ZS,ZSCALER INC,98980G102,2504858000.0,8359,2.4027689832460144
NET,CLOUDFLARE INC,18915M107,2125729000.0,9906,2.039091919776118
ALNY,ALNYLAM PHARMACEUTICALS INC,02043Q107,1695408000.0,3718,1.6263092583879641
CRM,SALESFORCE INC,79466L302,1638381000.0,6913,1.5716064741153346
DDOG,DATADOG INC,23804L103,1438240000.0,10100,1.3796225025385662
IOT,SAMSARA INC,79589L106,1153633000.0,30970,1.1066150617915465
AMD,ADVANCED MICRO DEVICES INC,007903107,1148385000.0,7098,1.1015809514251804
SNOW,SNOWFLAKE INC,833445109,1125043000.0,4988,1.0791902875205084
MDB,MONGODB INC,60937P106,1092848000.0,3521,1.0483074401033674
ISRG,INTUITIVE SURGICAL INC,46120E602,1018790000.0,2278,0.9772677782298267
MA,MASTERCARD INCORPORATED,57636Q104,1015326000.0,1785,0.9739449584300758
VEEV,VEEVA SYS INC,922475108,821934000.0,2759,0.7884349218499931
NOW,SERVICENOW INC,81762P102,821810000.0,893,0.78831597564469
FIG,FIGMA INC,316841105,750974000.0,14478,0.7203669966218414
GH,GUARDANT HEALTH INC,40131M109,639358000.0,10233,0.613300063951811
TWST,TWIST BIOSCIENCE CORP,90184D100,590096000.0,20970,0.5660458061644773
HTFL,HEARTFLOW INC,42238D107,564613000.0,16774,0.5416014017311488
RNA,AVIDITY BIOSCIENCES INC,05370A108,546368000.0,12540,0.5241000024105791
LLY,ELI LILLY & CO,532457108,531811000.0,697,0.5101362934541783
PD,PAGERDUTY INC,69553P100,504141000.0,30517,0.4835940232870003
KVYO,KLAVIYO INC,49845K101,481363000.0,17384,0.4617443727677383
BEAM,BEAM THERAPEUTICS INC,07373V105,451568000.0,18606,0.43316370996936204
SDGR,SCHRODINGER INC,80810D103,418973000.0,20886,0.40189716511576007
OKTA,OKTA INC,679295105,385965000.0,4209,0.3702344526590122
VKTX,VIKING THERAPEUTICS INC,92686J106,323270000.0,12301,0.3100946757117326
GPCR,STRUCTURE THERAPEUTICS INC,86366E106,309596000.0,11057,0.29697797884631905
MRNA,MODERNA INC,60770K107,245643000.0,9510,0.23563147346137014
TWLO,TWILIO INC,90138F102,235912000.0,2357,0.22629707407586927
TXG,10X GENOMICS INC,88025U109,221385000.0,18938,0.21236214242720303
RLAY,RELAY THERAPEUTICS INC,75943R102,200599000.0,38429,0.1924233051415159
ABCL,ABCELLERA BIOLOGICS INC,00288U106,143295000.0,28488,0.13745481039413718
