ticker,nameOfIssuer,cusip,value,shares,allocation_percent
GOOG,ALPHABET INC CAP STK CL C,02079K107,77758291000.0,319270,8.477013068740986
MSFT,MICROSOFT CORP COM,594918104,76763044000.0,148206,8.368513747097905
SAP,SAP SE SPON ADR,803054204,65481948000.0,245058,7.138677069981099
AMZN,AMAZON COM INC COM,023135106,56758625000.0,258499,6.1876823641709
GEV,GE VERNOVA,36828A101,54719951000.0,88990,5.965431258614807
META,META PLATFORMS INC CL A,30303M102,47894060000.0,65217,5.221289811205662
GE,GE AEROSPACE,369604301,45986654000.0,152871,5.0133492124417955
TSM,TAIWAN SEMICONDUCTOR MFG CO SP,874039100,43935395000.0,157311,4.789726121878083
UBER,UBER TECHNOLOGIES,90353T100,43293237000.0,441903,4.719719673842893
UNP,UNION PACIFIC CORP.,907818108,42970411000.0,181793,4.68452599628471
AON,AON PLC REGISTERED SHS CL A,G0403H108,38162433000.0,107023,4.1603723424933845
V,VISA INC COM CL A,92826C839,32041816000.0,93860,3.4931180904965364
WWD,WOODWARD,980745103,30923365000.0,122367,3.3711873790339295
MA,MASTERCARD INC CL A,57636Q104,30214150000.0,53118,3.29387054572612
NFLX,NETFLIX INC COM,64110L106,28639801000.0,23888,3.1222389823760555
LIN,LINDE PLC,G54950103,24266800000.0,51088,2.645505425736836
VST,VISTRA CORP,92840M102,22758263000.0,116161,2.481048520894633
AVGO,BROADCOM,11135F101,21795504000.0,66065,2.3760909591981187
CEG,CONSTELLATION ENERGY,21037T109,21644579000.0,65775,2.359637495767451
SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,21185696000.0,30352,2.3096112266970175
GWRE,GUIDEWIRE SOFTWARE,40171V100,18295937000.0,79596,1.9945769776995452
BIL,SPDR BLOOMBERG 1-3 MONTH T-BIL,78468R663,17105962000.0,186441,1.8648488998734127
HWM,HOWMET AEROSPACE,443201108,15796319000.0,80499,1.7220749180431645
CRS,CARPENTER TECHNOLOGY,144285103,12601358000.0,51321,1.3737683155855853
CSGP,COSTAR GROUP INC COM,22160N109,9087552000.0,107711,0.9907020341646049
N/A,MERCADOLIBRE,58733r102,9083686000.0,3887,0.9902805725802221
SGOV,ISHARES 0-3 MONTH TREASURY BON,46436E718,6035759000.0,59941,0.6580032465318847
GOOGL,ALPHABET INC. CL A,02079K305,826540000.0,3400,0.09010730935222297
BRK/A,BERKSHIRE HATHAWAY INC CL A,084670108,754200000.0,1,0.08222098472360269
BRK/B,BERKSHIRE HATHAWAY INC CL B,084670702,502740000.0,1000,0.05480744876683109
