ticker,nameOfIssuer,cusip,value,shares,allocation_percent
PGR,PROGRESSIVE CORP,743315103,176229732000.0,806728,12.86884394230658
BRK/B,BERKSHIRE HATHAWAY INC DEL,084670702,140768214000.0,281317,10.27933344416149
REGN,REGENERON PHARMACEUTICALS,75886F107,120366915000.0,193038,8.78956704622283
AMZN,AMAZON COM INC,023135106,110202219000.0,462374,8.047309283809687
BN,BROOKFIELD CORP,11271J107,103823730000.0,2437749,7.581532149627133
GOOGL,ALPHABET INC,02079K305,81877398000.0,229111,5.978942629635984
JPM,JPMORGAN CHASE & CO,46625H100,81119248000.0,247821,5.923580155187803
MLM,MARTIN MARIETTA MATLS INC,573284106,80147459000.0,138976,5.852617095527416
PAYX,PAYCHEX INC,704326107,75963465000.0,772536,5.54708882154952
NFLX,NETFLIX INC.,64110L106,74705606000.0,1046297,5.455236039452424
ECL,ECOLAB INC,278865100,73080796000.0,262305,5.3365873523744725
UNP,UNION PAC CORP,907818108,57071584000.0,209822,4.167544827431509
CPRT,COPART INC,217204106,57047793000.0,2023689,4.165807534508477
WFC,WELLS FARGO & CO,949746101,52174186000.0,631343,3.809921571298064
FDS,FACTSET RESH SYS INC,303075105,40388473000.0,175541,2.949292098481219
NKE,NIKE INC,654106103,30179385000.0,735186,2.203792693958066
BAM,BROOKFIELD ASSET MANAGMT LTD,113004105,11367546000.0,253457,0.8300936159909236
FAST,FASTENAL CO,311900104,1921200000.0,40000,0.14029200805888645
GOOG,ALPHABET INC,02079K107,750826000.0,2125,0.054827653155747176
RSP,INVESCO EXCHANGE TRADED FD T,46137V357,243622000.0,1145,0.01779003726177495
