date,PortfolioValue
2014-01-16 00:00:00+00:00,1130822.4002861325
2014-01-17 00:00:00+00:00,1124942.9298378082
2014-01-21 00:00:00+00:00,1123528.7333861445
2014-01-22 00:00:00+00:00,1126307.7043770212
2014-01-23 00:00:00+00:00,1114499.3755355151
2014-01-24 00:00:00+00:00,1084960.6232759978
2014-01-27 00:00:00+00:00,1080493.5782754435
2014-01-28 00:00:00+00:00,1087122.3488021358
2014-01-29 00:00:00+00:00,1074981.2847350927
2014-01-30 00:00:00+00:00,1084703.3380518174
2014-01-31 00:00:00+00:00,1080799.8132234067
2014-02-03 00:00:00+00:00,1055010.6191776635
2014-02-04 00:00:00+00:00,1064405.9439218338
2014-02-05 00:00:00+00:00,1061753.732467657
2014-02-06 00:00:00+00:00,1075567.9124948913
2014-02-07 00:00:00+00:00,1087518.3401615142
2014-02-10 00:00:00+00:00,1085895.2685733878
2014-02-11 00:00:00+00:00,1095083.9675587777
2014-02-12 00:00:00+00:00,1100025.8857836346
2014-02-13 00:00:00+00:00,1113029.291921114
2014-02-14 00:00:00+00:00,1113029.291921114
2014-02-18 00:00:00+00:00,1113446.4602539386
2014-02-19 00:00:00+00:00,1106006.4134563024
2014-02-20 00:00:00+00:00,1115399.4888738035
2014-02-21 00:00:00+00:00,1114711.4511394133
2014-02-24 00:00:00+00:00,1121566.2645254172
2014-02-25 00:00:00+00:00,1119917.5962728134
2014-02-26 00:00:00+00:00,1122163.8327930295
2014-02-27 00:00:00+00:00,1128022.3887640503
2014-02-28 00:00:00+00:00,1125968.5959275984
2014-03-03 00:00:00+00:00,1117265.7986903298
2014-03-04 00:00:00+00:00,1133457.6050078378
2014-03-05 00:00:00+00:00,1137466.5116912872
2014-03-06 00:00:00+00:00,1143415.2288900616
2014-03-07 00:00:00+00:00,1142449.1726887072
2014-03-10 00:00:00+00:00,1138373.6774278502
2014-03-11 00:00:00+00:00,1128143.5305504214
2014-03-12 00:00:00+00:00,1124927.7836969644
2014-03-13 00:00:00+00:00,1110592.8769929153
2014-03-14 00:00:00+00:00,1109141.3485423732
2014-03-17 00:00:00+00:00,1118437.2012455338
2014-03-18 00:00:00+00:00,1125965.9841375477
2014-03-19 00:00:00+00:00,1123709.8584392052
2014-03-20 00:00:00+00:00,1128610.0761573077
2014-03-21 00:00:00+00:00,1125369.2790069366
2014-03-24 00:00:00+00:00,1122214.5426845562
2014-03-25 00:00:00+00:00,1126411.7288681353
2014-03-26 00:00:00+00:00,1116858.9395426358
2014-03-27 00:00:00+00:00,1111181.2558784704
2014-03-28 00:00:00+00:00,1115569.3182338122
2014-03-31 00:00:00+00:00,1126460.5927904043
2014-04-01 00:00:00+00:00,1136928.5259809871
2014-04-02 00:00:00+00:00,1141030.3300394143
2014-04-03 00:00:00+00:00,1137389.165261921
2014-04-04 00:00:00+00:00,1124594.8650030163
2014-04-07 00:00:00+00:00,1108066.593021738
2014-04-08 00:00:00+00:00,1111757.180946767
2014-04-09 00:00:00+00:00,1123572.5059115747
2014-04-10 00:00:00+00:00,1101377.485541027
2014-04-11 00:00:00+00:00,1089291.6569655177
2014-04-14 00:00:00+00:00,1096286.3841835056
2014-04-15 00:00:00+00:00,1103319.5084563952
2014-04-16 00:00:00+00:00,1117145.6029976907
2014-04-17 00:00:00+00:00,1118819.6020315215
2014-04-21 00:00:00+00:00,1121204.4653271483
2014-04-22 00:00:00+00:00,1129577.241564006
2014-04-23 00:00:00+00:00,1131106.811122171
2014-04-24 00:00:00+00:00,1131527.394485091
2014-04-25 00:00:00+00:00,1120965.5561596735
2014-04-28 00:00:00+00:00,1118845.0115498495
2014-04-29 00:00:00+00:00,1124552.6304453555
2014-04-30 00:00:00+00:00,1127401.2039663545
2014-05-01 00:00:00+00:00,1128333.354710096
2014-05-02 00:00:00+00:00,1129503.320764572
2014-05-05 00:00:00+00:00,1128336.957464648
2014-05-06 00:00:00+00:00,1118379.2375360238
2014-05-07 00:00:00+00:00,1122608.1844830322
2014-05-08 00:00:00+00:00,1122414.6052958348
2014-05-09 00:00:00+00:00,1121564.4255065178
2014-05-12 00:00:00+00:00,1134741.022689904
2014-05-13 00:00:00+00:00,1135559.0532279923
2014-05-14 00:00:00+00:00,1128792.2655784562
2014-05-15 00:00:00+00:00,1128792.2655784562
2014-05-16 00:00:00+00:00,1129891.4230977404
2014-05-19 00:00:00+00:00,1135308.6543158675
2014-05-20 00:00:00+00:00,1128957.458736462
2014-05-21 00:00:00+00:00,1135085.8178054886
2014-05-22 00:00:00+00:00,1138286.5963663594
2014-05-23 00:00:00+00:00,1145963.4856236326
2014-05-27 00:00:00+00:00,1149402.6453461065
2014-05-28 00:00:00+00:00,1150969.2697362383
2014-05-29 00:00:00+00:00,1153419.7953951075
2014-05-30 00:00:00+00:00,1154079.4622611618
2014-06-02 00:00:00+00:00,1159677.472854412
2014-06-03 00:00:00+00:00,1162902.0989027065
2014-06-04 00:00:00+00:00,1167077.6772678187
2014-06-05 00:00:00+00:00,1171128.347723762
2014-06-06 00:00:00+00:00,1179331.8304436803
2014-06-09 00:00:00+00:00,1178380.9311200685
2014-06-10 00:00:00+00:00,1179491.4433709797
2014-06-11 00:00:00+00:00,1171140.2983116899
2014-06-12 00:00:00+00:00,1159736.9474287694
2014-06-13 00:00:00+00:00,1161808.2113535763
2014-06-16 00:00:00+00:00,1164786.0511256834
2014-06-17 00:00:00+00:00,1167912.6886115794
2014-06-18 00:00:00+00:00,1172339.302492945
2014-06-19 00:00:00+00:00,1172580.5805170848
2014-06-20 00:00:00+00:00,1174819.4647683674
2014-06-23 00:00:00+00:00,1175556.9354223965
2014-06-24 00:00:00+00:00,1166960.7746584727
2014-06-25 00:00:00+00:00,1172623.3841794152
2014-06-26 00:00:00+00:00,1171718.4771690695
2014-06-27 00:00:00+00:00,1173593.5849063108
2014-06-30 00:00:00+00:00,1172795.1196083534
2014-07-01 00:00:00+00:00,1180244.1217333414
2014-07-02 00:00:00+00:00,1176172.4577151623
2014-07-03 00:00:00+00:00,1179837.9570887673
