date,PortfolioValue_copy,PortfolioValue_copy_scaled,PortfolioValue_fund
2002-07-01 00:00:00+00:00,,,1000000.0
2002-07-02 00:00:00+00:00,,,992988.5180916726
2002-07-03 00:00:00+00:00,,,995893.2539990011
2002-07-05 00:00:00+00:00,,,1008615.7360762904
2002-07-08 00:00:00+00:00,,,1003368.3573885557
2002-07-09 00:00:00+00:00,,,996590.3685666205
2002-07-10 00:00:00+00:00,,,986935.9804576406
2002-07-11 00:00:00+00:00,,,990131.4392262342
2002-07-12 00:00:00+00:00,,,987319.0348977203
2002-07-15 00:00:00+00:00,,,987017.806663309
2002-07-16 00:00:00+00:00,,,978341.2303680637
2002-07-17 00:00:00+00:00,,,981379.020893337
2002-07-18 00:00:00+00:00,,,971306.2295320973
2002-07-19 00:00:00+00:00,,,960732.1921392911
2002-07-22 00:00:00+00:00,,,951417.7645342312
2002-07-23 00:00:00+00:00,,,947137.8230015333
2002-07-24 00:00:00+00:00,,,962677.2185505664
2002-07-25 00:00:00+00:00,,,958544.8075717556
2002-07-26 00:00:00+00:00,,,963184.1307044101
2002-07-29 00:00:00+00:00,,,980477.5997828529
2002-07-30 00:00:00+00:00,,,981180.6935481158
2002-07-31 00:00:00+00:00,,,983289.1743422194
2002-08-01 00:00:00+00:00,,,974031.1130612829
2002-08-02 00:00:00+00:00,,,964068.9703812185
2002-08-05 00:00:00+00:00,,,955025.9249861846
2002-08-06 00:00:00+00:00,,,962062.209883013
2002-08-07 00:00:00+00:00,,,967497.2754332907
2002-08-08 00:00:00+00:00,,,975536.1200676404
2002-08-09 00:00:00+00:00,,,975944.6488639193
2002-08-12 00:00:00+00:00,,,972731.5563049025
2002-08-13 00:00:00+00:00,,,967963.9145085451
2002-08-14 00:00:00+00:00,,,982975.3444196933
2002-08-15 00:00:00+00:00,,,987745.5534368656
2002-08-16 00:00:00+00:00,,,988596.7780966274
2002-08-19 00:00:00+00:00,,,997116.7689763492
2002-08-20 00:00:00+00:00,,,993146.1218551176
2002-08-21 00:00:00+00:00,,,996538.1155637918
2002-08-22 00:00:00+00:00,,,1001530.7654635268
2002-08-23 00:00:00+00:00,,,994852.2620548481
2002-08-26 00:00:00+00:00,1000000.0,1000000.0,996587.2927493905
2002-08-27 00:00:00+00:00,994887.4128414772,990768.174413308,991507.3357850417
2002-08-28 00:00:00+00:00,990216.1770874623,982333.2993846259,986982.0559216829
2002-08-29 00:00:00+00:00,989603.4983851621,981226.9822217219,986354.3272577409
2002-08-30 00:00:00+00:00,988781.205871627,979742.1642947467,985522.3390356579
2002-09-03 00:00:00+00:00,976324.9710692578,957249.8754404321,973142.4154904839
2002-09-04 00:00:00+00:00,982444.1585615075,968299.324556726,979239.7969075574
2002-09-05 00:00:00+00:00,977048.0170986542,958555.4834677514,973930.7949596304
2002-09-06 00:00:00+00:00,983691.2124953934,970551.1364198532,980296.7730351894
2002-09-09 00:00:00+00:00,986577.4742496931,975762.8744865216,983175.772373835
2002-09-10 00:00:00+00:00,989767.8780262137,981523.8034062102,986170.7585293977
2002-09-11 00:00:00+00:00,989667.5428414384,981342.6276340749,985984.88862612
2002-09-12 00:00:00+00:00,980234.245637599,964308.8731389366,976741.1468638447
2002-09-13 00:00:00+00:00,981990.1711343254,967479.557065954,978444.7063583937
2002-09-16 00:00:00+00:00,981156.0660507851,965973.4091190421,977575.6367528059
2002-09-17 00:00:00+00:00,974947.3630445777,954762.3213672513,971363.3684696713
2002-09-18 00:00:00+00:00,973780.8187126952,952655.8861169242,970150.7064684154
2002-09-19 00:00:00+00:00,968370.0586159403,942885.6480836411,964539.3867896973
2002-09-20 00:00:00+00:00,968812.440999133,943684.4602852977,964887.8450529319
2002-09-23 00:00:00+00:00,964145.2080191079,935256.8130867125,960253.3385945526
2002-09-24 00:00:00+00:00,959359.5578545238,926615.3393536505,955570.7472763093
2002-09-25 00:00:00+00:00,966464.93920952,939445.5639273105,962707.6494320915
2002-09-26 00:00:00+00:00,972684.7901042377,950676.7814801579,968557.1380541708
2002-09-27 00:00:00+00:00,962793.732530744,932816.446672134,958781.7914693467
2002-09-30 00:00:00+00:00,956469.5251687318,921396.7920961052,952679.5093809065
2002-10-01 00:00:00+00:00,968316.0732061221,942788.1663445111,964663.3208291904
2002-10-02 00:00:00+00:00,961207.9899499133,929953.0629335865,957737.6940988682
2002-10-03 00:00:00+00:00,957584.4693322427,923410.052650358,954290.8077010767
2002-10-04 00:00:00+00:00,951769.3573559863,912909.674296438,948549.079388691
2002-10-07 00:00:00+00:00,943825.6050861636,898565.5989418224,940794.5870009155
2002-10-08 00:00:00+00:00,952661.4128018902,914520.4635181951,949512.0713505914
2002-10-09 00:00:00+00:00,943866.2810638265,898639.04776914,940858.2708104536
2002-10-10 00:00:00+00:00,952750.6336298496,914681.5700376311,949633.4233874097
2002-10-11 00:00:00+00:00,964115.5686392386,935203.2931022176,960977.8459317845
2002-10-14 00:00:00+00:00,967155.4266930923,940692.3808167805,963882.2212130955
2002-10-15 00:00:00+00:00,981411.7899454403,966435.1711038466,978117.8443060123
2002-10-16 00:00:00+00:00,971779.0009077383,949041.1931525434,968749.1674909053
2002-10-17 00:00:00+00:00,977723.9655183301,959776.0470928911,974892.826194497
2002-10-18 00:00:00+00:00,980797.2893418786,965325.5641242295,977900.3161320576
2002-10-21 00:00:00+00:00,984956.6074302595,972836.0667251474,981765.6140888381
2002-10-22 00:00:00+00:00,981078.3808009957,965833.1324539258,978096.9771607359
2002-10-23 00:00:00+00:00,983636.0096636628,970451.4563755572,980490.6556153097
2002-10-24 00:00:00+00:00,978915.6392361075,961927.8586078156,975669.8848054653
2002-10-25 00:00:00+00:00,985429.382811837,973689.759724225,982000.9967378301
2002-10-28 00:00:00+00:00,981303.8302002847,966240.2276228345,978111.7787007099
2002-10-29 00:00:00+00:00,978797.9228336365,961715.2974792502,975684.3374750353
2002-10-30 00:00:00+00:00,979903.8315702921,963712.2427155938,976763.6210822843
2002-10-31 00:00:00+00:00,979080.7900400964,962226.0722852852,975996.8108421976
2002-11-01 00:00:00+00:00,983682.6994251662,970535.7643240613,980571.1821824389
2002-11-04 00:00:00+00:00,984910.2259001425,972752.3153516826,981881.1659600897
2002-11-05 00:00:00+00:00,987140.2063888344,976779.0028770019,984018.8696790037
2002-11-06 00:00:00+00:00,988283.8520494174,978844.0898758373,985234.1182504348
2002-11-07 00:00:00+00:00,981143.8157975387,965951.2887721693,978198.291190122
2002-11-08 00:00:00+00:00,977493.4842323551,959359.865819664,974449.6632640582
2002-11-11 00:00:00+00:00,971052.582749417,947729.4960542459,968101.3499629757
2002-11-12 00:00:00+00:00,975205.1612443917,955227.8289358176,972155.6934308344
2002-11-13 00:00:00+00:00,976033.377476221,956723.3433521477,972972.8418095276
2002-11-14 00:00:00+00:00,985260.653513493,973385.0843406317,981971.6031906571
2002-11-15 00:00:00+00:00,986335.6924561807,975326.2878272561,982872.9808086653
2002-11-18 00:00:00+00:00,981867.1367221375,967257.3931792049,978240.9765480919
2002-11-19 00:00:00+00:00,980216.9622491128,964277.6644332255,976684.225236357
2002-11-20 00:00:00+00:00,985714.1246452872,974203.9195541,982256.1919619
2002-11-21 00:00:00+00:00,993491.5873479082,988247.7249605088,989997.1370045095
2002-11-22 00:00:00+00:00,992669.6273496784,986763.5074581733,989118.876506452
2002-11-25 00:00:00+00:00,993150.8444909404,987632.4437872199,989617.0124080619
2002-11-26 00:00:00+00:00,986423.2855714632,975484.4551773295,983013.271747686
2002-11-27 00:00:00+00:00,997081.3550837275,994729.787487027,993333.9424291583
2002-11-29 00:00:00+00:00,995676.4273851877,992192.9021347233,991959.8637773405
2002-12-02 00:00:00+00:00,996388.8407409189,993479.310687148,992690.7285395787
2002-12-03 00:00:00+00:00,991257.0318594517,984212.7763339945,987674.69922938
2002-12-04 00:00:00+00:00,990529.0739628748,982898.298922211,986920.4016958015
2002-12-05 00:00:00+00:00,985482.7923972709,973786.2016942287,981937.9763547785
2002-12-06 00:00:00+00:00,987302.1368872084,977071.4016316446,983910.2879590251
2002-12-09 00:00:00+00:00,979494.5031763741,962973.1162766379,976252.548615346
2002-12-10 00:00:00+00:00,983802.5236330269,970752.1315279317,980471.6603674976
2002-12-11 00:00:00+00:00,984123.2703536123,971331.3055723314,981008.8635602694
2002-12-12 00:00:00+00:00,983045.1137546394,969384.4725173165,979887.5570727608
2002-12-13 00:00:00+00:00,977850.3322784235,960004.2282178215,974724.1649135116
2002-12-16 00:00:00+00:00,984640.7470330875,972265.715940697,981596.8903164894
2002-12-17 00:00:00+00:00,981381.9861056178,966381.3541531477,978300.4033119536
2002-12-18 00:00:00+00:00,976777.6018160357,958067.1931662457,973752.4485981388
2002-12-19 00:00:00+00:00,975042.1580791655,954933.4932609843,972116.9980021648
2002-12-20 00:00:00+00:00,979064.2382515073,962196.1846333657,975915.6439134938
2002-12-23 00:00:00+00:00,979520.5540519117,963020.1564799412,976382.3752500829
2002-12-24 00:00:00+00:00,977731.9339685,959790.435765374,974690.4738892355
2002-12-26 00:00:00+00:00,977057.2474752003,958572.1508073453,973912.6015024044
2002-12-27 00:00:00+00:00,972059.3052172934,949547.3401221255,969045.6781122042
2002-12-30 00:00:00+00:00,974802.5404470302,954500.8144393272,971691.4437061332
2002-12-31 00:00:00+00:00,975062.0469200911,954969.4066459017,971808.8077711675
2003-01-02 00:00:00+00:00,985732.641208973,974237.3550107704,982377.4292095952
2003-01-03 00:00:00+00:00,984154.205575349,971387.1654653179,980927.1024984225
