ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
CELG,CELGENE CORP,151020104,179171000.0,2086290,41.20644966916813,2014-08-14,2014-06-30,0001104659-14-060951
N/A,MICROS SYS INC,594901100,45999000.0,677445,10.57903052576625,2014-08-14,2014-06-30,0001104659-14-060951
N/A,NEWSTAR FINL INC,65251F105,31736000.0,2257204,7.298769815989862,2014-08-14,2014-06-30,0001104659-14-060951
KLAC,KLA-TENCOR CORP,482480100,26205000.0,360750,6.026728731661657,2014-08-14,2014-06-30,0001104659-14-060951
MXIM,MAXIM INTEGRATED PRODS INC,57772K101,24254000.0,717375,5.578030095696311,2014-08-14,2014-06-30,0001104659-14-060951
N/A,LAM RESEARCH CORP,512807108,19903000.0,294504,4.577370041834076,2014-08-14,2014-06-30,0001104659-14-060951
N/A,ALTERA CORP,021441100,19705000.0,566900,4.531833224857582,2014-08-14,2014-06-30,0001104659-14-060951
N/A,E M C CORP,268648102,18395000.0,698350,4.230554284255531,2014-08-14,2014-06-30,0001104659-14-060951
PRGS,PROGRESS SOFTWARE CORP,743312100,14725000.0,612526,3.386513282721538,2014-08-14,2014-06-30,0001104659-14-060951
CEVA,CEVA INC COM,157210105,10914000.0,738936,2.5100445478861024,2014-08-14,2014-06-30,0001104659-14-060951
VMWEUR,VMWARE INC,928563402,8955000.0,92500,2.059506040527767,2014-08-14,2014-06-30,0001104659-14-060951
EGAN,EGAIN CORP COM,28225C806,7964000.0,1176307,1.8315919717211766,2014-08-14,2014-06-30,0001104659-14-060951
DVN,DEVON ENERGY CORP,25179M103,6352000.0,80000,1.4608578860337662,2014-08-14,2014-06-30,0001104659-14-060951
PETS,PETMEDEXPRESS INC,716382106,5037000.0,373675,1.1584290258110959,2014-08-14,2014-06-30,0001104659-14-060951
N/A,BANKRATE INC,06647F102,4418000.0,251877,1.0160689767785231,2014-08-14,2014-06-30,0001104659-14-060951
N/A,ENERNOC INC,292764107,3885000.0,205000,0.893487545220589,2014-08-14,2014-06-30,0001104659-14-060951
UNXLEUR,UNI-PIXEL INC,904572203,3473000.0,431931,0.7987341684816232,2014-08-14,2014-06-30,0001104659-14-060951
SEACUSD,SEACHANGE INTL INC,811699107,1734000.0,216506,0.3987921244305023,2014-08-14,2014-06-30,0001104659-14-060951
INTC,INTEL CORP,458140100,1020000.0,33010,0.23458360260617783,2014-08-14,2014-06-30,0001104659-14-060951
ANIK,ANIKA THERAPEUTICS INC,035255108,579000.0,12500,0.1331606920676245,2014-08-14,2014-06-30,0001104659-14-060951
BYON,OVERSTOCK COM INC,690370101,389000.0,24662,0.08946374648412077,2014-08-14,2014-06-30,0001104659-14-060951
