ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
TRMB,TRIMBLE INC,896239100,303057813000.0,4880944,15.731686428611754,2024-11-14,2024-09-30,0000902664-24-006510
SPY,SPDR S&P 500 ETF TR,78462F103,274809811000.0,478963,14.26533680607687,2024-11-14,2024-09-30,0000902664-24-006510
MRCY,MERCURY SYS INC,589378108,256837905000.0,6941565,13.332417813104112,2024-11-14,2024-09-30,0000902664-24-006510
LW,LAMB WESTON HLDGS INC,513272104,228322054000.0,3526754,11.852164188436745,2024-11-14,2024-09-30,0000902664-24-006510
THS,TREEHOUSE FOODS INC,89469A104,206161681000.0,4910950,10.70182249050773,2024-11-14,2024-09-30,0000902664-24-006510
LW,LAMB WESTON HLDGS INC,513272104,149031480000.0,2302000,7.736202172593135,2024-11-14,2024-09-30,0000902664-24-006510
RPD,RAPID7 INC,753422104,145819491000.0,3655540,7.569468296769415,2024-11-14,2024-09-30,0000902664-24-006510
FYBR,FRONTIER COMMUNICATIONS PARE,35909D109,138929868000.0,3910213,7.211828981767325,2024-11-14,2024-09-30,0000902664-24-006510
FIS,FIDELITY NATL INFORMATION SV,31620M106,132905304000.0,1586929,6.899094752021191,2024-11-14,2024-09-30,0000902664-24-006510
WOLF,WOLFSPEED INC,977852102,59809550000.0,6165933,3.1047049298028697,2024-11-14,2024-09-30,0000902664-24-006510
EHAB,ENHABIT INC,29332G102,16883446000.0,2137145,0.8764171947165719,2024-11-14,2024-09-30,0000902664-24-006510
FTRE,FORTREA HLDGS INC,34965K107,13848160000.0,692408,0.7188559455922826,2024-11-14,2024-09-30,0000902664-24-006510
