ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
N/A,VIRGIN AMER INC,92765X208,405235000.0,10509208,44.067592020670396,2016-05-16,2016-03-31,0001315863-16-001465
DAL,DELTA AIR LINES INC DEL,247361702,177036000.0,3636731,19.251916100463692,2016-05-16,2016-03-31,0001315863-16-001465
ALLY,ALLY FINL INC,02005N100,115160000.0,6151704,12.523162848965175,2016-05-16,2016-03-31,0001315863-16-001465
CIEI 3.125 05/15/24,COBALT INTL ENERGY INC,19075FAB2,103020000.0,255950000,11.202989203719975,2016-05-16,2016-03-31,0001315863-16-001465
AAL,AMERICAN AIRLS GROUP INC,02376R102,68302000.0,1665506,7.427553568166198,2016-05-16,2016-03-31,0001315863-16-001465
N/A,CM FIN INC,12574Q103,32073000.0,3818186,3.4878030744604036,2016-05-16,2016-03-31,0001315863-16-001465
N/A,SPHERE 3D CORP NEW,84841L100,8194000.0,6607677,0.8910628376556151,2016-05-16,2016-03-31,0001315863-16-001465
UAL,UNITED CONTL HLDGS INC,910047109,4789000.0,80000,0.5207834915221798,2016-05-16,2016-03-31,0001315863-16-001465
N/A,INTELSAT S A,L5140P101,3933000.0,1560633,0.4276971125823205,2016-05-16,2016-03-31,0001315863-16-001465
N/A,COBALT INTL ENERGY INC,19075F106,594000.0,200000,0.06459498725499578,2016-05-16,2016-03-31,0001315863-16-001465
N/A,EXCO RESOURCES INC,269279402,513000.0,518766,0.05578657990204181,2016-05-16,2016-03-31,0001315863-16-001465
N/A,PROSHARES TR II,74347W312,483000.0,25000,0.05252420680835516,2016-05-16,2016-03-31,0001315863-16-001465
N/A,CUMULUS MEDIA INC,231082108,139000.0,300000,0.01511566200074817,2016-05-16,2016-03-31,0001315863-16-001465
USX1,UNITED STATES STL CORP NEW,912909108,105000.0,35000,0.011418305827903295,2016-05-16,2016-03-31,0001315863-16-001465
