ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
AAPL,Apple,037833100,429033320000.0,2211854,7.420149184802599,2023-08-04,2023-06-30,0001316617-23-000007
LLY,Eli Lilly,532457108,373152379000.0,795668,6.453685976753509,2023-08-04,2023-06-30,0001316617-23-000007
MSFT,Microsoft,594918104,323271557000.0,949291,5.590995077359999,2023-08-04,2023-06-30,0001316617-23-000007
N/A,ASML Holding NY,N07059210,229660230000.0,316882,3.971983267910468,2023-08-04,2023-06-30,0001316617-23-000007
TSM,Taiwan Semiconductor ADS,874039100,213313797000.0,2113692,3.689271026587625,2023-08-04,2023-06-30,0001316617-23-000007
NVO,Novo Nordisk ADS,670100205,172698826000.0,1067162,2.986833407158833,2023-08-04,2023-06-30,0001316617-23-000007
ADBE,Adobe,00724F101,167021380000.0,341564,2.888641741512303,2023-08-04,2023-06-30,0001316617-23-000007
INTU,Intuit,461202103,136686324000.0,298318,2.3639956812731096,2023-08-04,2023-06-30,0001316617-23-000007
JCI,Johnson Controls International,G51502105,122082077000.0,1791636,2.1114146195697763,2023-08-04,2023-06-30,0001316617-23-000007
CHD,Church & Dwight,171340102,119371524000.0,1190976,2.064535492248583,2023-08-04,2023-06-30,0001316617-23-000007
CSCO,Cisco Systems,17275R102,115517311000.0,2232650,1.9978767174708911,2023-08-04,2023-06-30,0001316617-23-000007
AMGN,Amgen,031162100,109815976000.0,494622,1.8992718905718136,2023-08-04,2023-06-30,0001316617-23-000007
AG8,Agilent Technologies,00846U101,109551478000.0,911031,1.8946973866170114,2023-08-04,2023-06-30,0001316617-23-000007
AMD,Advanced Micro Devices,007903107,106576019000.0,935616,1.8432366989639788,2023-08-04,2023-06-30,0001316617-23-000007
TJX,TJX Companies,872540109,104703440000.0,1234856,1.8108503669645701,2023-08-04,2023-06-30,0001316617-23-000007
ROK,Rockwell Automation,773903109,98933835000.0,300300,1.7110648075647013,2023-08-04,2023-06-30,0001316617-23-000007
LOW,Lowe's,548661107,97877288000.0,433661,1.6927917830808321,2023-08-04,2023-06-30,0001316617-23-000007
GOOGL,"Alphabet, Class A",02079K305,96365921000.0,805062,1.6666526277047704,2023-08-04,2023-06-30,0001316617-23-000007
SYK,Stryker,863667101,95800701000.0,314008,1.6568771242025389,2023-08-04,2023-06-30,0001316617-23-000007
MSI,Motorola Solutions,620076307,92977385000.0,317026,1.6080477560876332,2023-08-04,2023-06-30,0001316617-23-000007
ORCL,Oracle,68389X105,92912232000.0,780185,1.6069209322320002,2023-08-04,2023-06-30,0001316617-23-000007
JNJ,Johnson & Johnson,478160104,90710753000.0,548035,1.5688462609985163,2023-08-04,2023-06-30,0001316617-23-000007
EL,"Estee Lauder, Class A",518439104,90058690000.0,458594,1.5575688041849292,2023-08-04,2023-06-30,0001316617-23-000007
NOW,ServiceNow,81762P102,84533213000.0,150423,1.46200544873926,2023-08-04,2023-06-30,0001316617-23-000007
KEYS,Keysight Technologies,49338L103,83725000000.0,500000,1.4480273711552232,2023-08-04,2023-06-30,0001316617-23-000007
TRMB,Trimble,896239100,83142905000.0,1570512,1.437960013823332,2023-08-04,2023-06-30,0001316617-23-000007
LULU,Lululemon Athletica,550021109,81428219000.0,215134,1.4083044478521565,2023-08-04,2023-06-30,0001316617-23-000007
AZO,AutoZone,053332102,80104177000.0,32127,1.3854050861733378,2023-08-04,2023-06-30,0001316617-23-000007
ITW,Illinois Tool Works,452308109,79223671000.0,316692,1.3701766981355186,2023-08-04,2023-06-30,0001316617-23-000007
CTVA,Corteva,22052L104,77290079000.0,1348867,1.3367351437533534,2023-08-04,2023-06-30,0001316617-23-000007
AZN,AstraZeneca ADS,046353108,76957289000.0,1075273,1.3309795268068412,2023-08-04,2023-06-30,0001316617-23-000007
TT,Trane,G8994E103,76819579000.0,401650,1.3285978266064018,2023-08-04,2023-06-30,0001316617-23-000007
MRK,Merck & Co,58933Y105,76189248000.0,660276,1.3176962256402909,2023-08-04,2023-06-30,0001316617-23-000007
ELV,Elevance Health,036752103,74749127000.0,168244,1.2927892728092913,2023-08-04,2023-06-30,0001316617-23-000007
UNP,Union Pacific,907818108,73492547000.0,359166,1.2710566692375238,2023-08-04,2023-06-30,0001316617-23-000007
GPC,Genuine Parts,372460105,66843142000.0,394984,1.1560549320993168,2023-08-04,2023-06-30,0001316617-23-000007
GWW,W.W. Grainger,384802104,64565018000.0,81874,1.1166546823903216,2023-08-04,2023-06-30,0001316617-23-000007
IT,Gartner,366651107,63283502000.0,180650,1.0944908096572865,2023-08-04,2023-06-30,0001316617-23-000007
LECO,Lincoln Electric Holdings,533900106,61475985000.0,309500,1.0632297276647111,2023-08-04,2023-06-30,0001316617-23-000007
PPG,PPG Industries,693506107,57329814000.0,386580,0.9915215270855529,2023-08-04,2023-06-30,0001316617-23-000007
NSC,Norfolk Southern,655844108,57255766000.0,252495,0.9902408638334861,2023-08-04,2023-06-30,0001316617-23-000007
HON,Honeywell International,438516106,55129430000.0,265684,0.9534657939227937,2023-08-04,2023-06-30,0001316617-23-000007
N/A,Linde,G54950103,51986934000.0,136420,0.8991161943796965,2023-08-04,2023-06-30,0001316617-23-000007
CNI,Canadian National Railway,136375102,49396560000.0,408000,0.8543155678818902,2023-08-04,2023-06-30,0001316617-23-000007
MCX,McCormick & Co,579780206,48850196000.0,560016,0.8448661796870397,2023-08-04,2023-06-30,0001316617-23-000007
TXN,Texas Instruments,882508104,48336810000.0,268508,0.8359871473792715,2023-08-04,2023-06-30,0001316617-23-000007
ABT,Abbott Laboratories,002824100,47594425000.0,436566,0.8231475678040543,2023-08-04,2023-06-30,0001316617-23-000007
BMY,Bristol-Myers Squibb,110122108,43880124000.0,686163,0.7589085769087515,2023-08-04,2023-06-30,0001316617-23-000007
PFE,Pfizer,717081103,42645929000.0,1162648,0.737563122846728,2023-08-04,2023-06-30,0001316617-23-000007
IDXX,IDEXX Laboratories,45168D104,41685090000.0,83000,0.7209453722193954,2023-08-04,2023-06-30,0001316617-23-000007
FAST,Fastenal,311900104,38301499000.0,649288,0.6624260245837493,2023-08-04,2023-06-30,0001316617-23-000007
CL,Colgate-Palmolive,194162103,33870559000.0,439649,0.5857927322583205,2023-08-04,2023-06-30,0001316617-23-000007
APD,Air Products & Chemicals,009158106,33318220000.0,111235,0.5762400061889684,2023-08-04,2023-06-30,0001316617-23-000007
KMB,Kimberly-Clark,494368103,32437197000.0,234950,0.5610026766145607,2023-08-04,2023-06-30,0001316617-23-000007
NVS,Novartis ADS,66987V109,31450216000.0,311666,0.5439327990056009,2023-08-04,2023-06-30,0001316617-23-000007
UPS,"United Parcel Service, Cl B",911312106,29721263000.0,165809,0.5140304846736699,2023-08-04,2023-06-30,0001316617-23-000007
PG,Procter & Gamble,742718109,26171053000.0,172473,0.4526294544754138,2023-08-04,2023-06-30,0001316617-23-000007
UL,Unilever ADS,904767704,26033305000.0,499392,0.4502470970633876,2023-08-04,2023-06-30,0001316617-23-000007
MMM,3M,88579Y101,25800900000.0,257777,0.44622764288371214,2023-08-04,2023-06-30,0001316617-23-000007
N/A,Eaton Corp PLC,G29183103,19940674000.0,99158,0.3448747895047275,2023-08-04,2023-06-30,0001316617-23-000007
ABBV,AbbVie,00287Y109,15284175000.0,113443,0.2643404448554958,2023-08-04,2023-06-30,0001316617-23-000007
NVDA,NVIDIA,67066G104,7242525000.0,17121,0.12525977230547605,2023-08-04,2023-06-30,0001316617-23-000007
QCOM,Qualcomm,747525103,5490125000.0,46120,0.0949519411294544,2023-08-04,2023-06-30,0001316617-23-000007
ACN,"Accenture, Class A",G1151C101,5300170000.0,17176,0.09166666147238912,2023-08-04,2023-06-30,0001316617-23-000007
RIO,Rio Tinto ADS,767204100,4487952000.0,70300,0.07761931724611318,2023-08-04,2023-06-30,0001316617-23-000007
STM,STMicroelectronics (NY shares),861012102,4475605000.0,89530,0.07740577536553207,2023-08-04,2023-06-30,0001316617-23-000007
MA,"Mastercard, Class A",57636Q104,4240954000.0,10783,0.07334747652206902,2023-08-04,2023-06-30,0001316617-23-000007
AMZN,Amazon.com,023135106,3754368000.0,28800,0.06493195133340451,2023-08-04,2023-06-30,0001316617-23-000007
MELI,MercadoLibre,58733R102,3630799000.0,3065,0.0627948203184594,2023-08-04,2023-06-30,0001316617-23-000007
ORLY,O'Reilly Automotive,67103H107,3182104000.0,3331,0.0550346215570322,2023-08-04,2023-06-30,0001316617-23-000007
NSY,NICE Systems ADR,653656108,3169775000.0,15350,0.05482139098720272,2023-08-04,2023-06-30,0001316617-23-000007
SONY,Sony ADS,835699307,2933953000.0,32585,0.05074283964984151,2023-08-04,2023-06-30,0001316617-23-000007
ABX,Barrick Gold,067901108,2873698000.0,169740,0.04970072690873721,2023-08-04,2023-06-30,0001316617-23-000007
SCCO,Southern Copper,84265V105,2582640000.0,36000,0.0446668666448531,2023-08-04,2023-06-30,0001316617-23-000007
TLK,Telekomunikasi Indonesia ADS,715684106,2512314000.0,94200,0.04345057553820798,2023-08-04,2023-06-30,0001316617-23-000007
COST,Costco Wholesale,22160K105,2445860000.0,4543,0.0423012508332483,2023-08-04,2023-06-30,0001316617-23-000007
COP,ConocoPhillips,20825C104,2370908000.0,22883,0.041004952863432524,2023-08-04,2023-06-30,0001316617-23-000007
NKE,"Nike, Class B",654106103,2321412000.0,21033,0.04014891747659825,2023-08-04,2023-06-30,0001316617-23-000007
N/A,Alcon,H01301128,2163681000.0,26351,0.037420953245129944,2023-08-04,2023-06-30,0001316617-23-000007
EW,Edwards Lifesciences,28176E108,2076864000.0,22017,0.03591944960486022,2023-08-04,2023-06-30,0001316617-23-000007
SQM,Quimica y Minera Chile ADS,833635105,2033360000.0,28000,0.0351670461082375,2023-08-04,2023-06-30,0001316617-23-000007
FND,"Floor & Decor Holdings, Inc. Class",339750101,2020671000.0,19437,0.034947589323375286,2023-08-04,2023-06-30,0001316617-23-000007
MCO,Moody's,615369105,1978179000.0,5689,0.03421268840901127,2023-08-04,2023-06-30,0001316617-23-000007
ROST,Ross Stores,778296103,1962275000.0,17500,0.03393762806489837,2023-08-04,2023-06-30,0001316617-23-000007
MNST,Monster Beverage,61174X109,1948767000.0,33927,0.03370400664083668,2023-08-04,2023-06-30,0001316617-23-000007
INFY,Infosys ADS,456788108,1928400000.0,120000,0.0333517585253596,2023-08-04,2023-06-30,0001316617-23-000007
BHP,BHP Biliton ADR,088606108,1827692000.0,30630,0.03161000946003502,2023-08-04,2023-06-30,0001316617-23-000007
N/A,TE Connectivity,H84989104,1812970000.0,12935,0.03135539185527961,2023-08-04,2023-06-30,0001316617-23-000007
AEM,Agnico-Eagle Mines,008474108,1619252000.0,32398,0.028005030956080472,2023-08-04,2023-06-30,0001316617-23-000007
TSCO,Tractor Supply,892356106,1585950000.0,7173,0.02742907147546881,2023-08-04,2023-06-30,0001316617-23-000007
FIX,Comfort Systems USA,199908104,1578619000.0,9614,0.027302281524343833,2023-08-04,2023-06-30,0001316617-23-000007
RPM,RPM International,749685103,1509707000.0,16825,0.026110445606743967,2023-08-04,2023-06-30,0001316617-23-000007
T,Telus,87971M103,1478960000.0,76000,0.025578674957822983,2023-08-04,2023-06-30,0001316617-23-000007
PSA,Public Storage International,74460D109,1452103000.0,4975,0.02511418202133906,2023-08-04,2023-06-30,0001316617-23-000007
HD,Home Depot,437076102,1439195000.0,4633,0.024890937622331938,2023-08-04,2023-06-30,0001316617-23-000007
ICFI,ICF International,44925C103,1393168000.0,11200,0.024094898735354794,2023-08-04,2023-06-30,0001316617-23-000007
N/A,NXP Semiconductors,N6596X109,1390391000.0,6793,0.024046870404393933,2023-08-04,2023-06-30,0001316617-23-000007
JBL,Jabil Inc,466313103,1295160000.0,12000,0.02239984628277574,2023-08-04,2023-06-30,0001316617-23-000007
CSW,"CSW Industrials, Inc.",126402106,1283818000.0,7725,0.02220368591916102,2023-08-04,2023-06-30,0001316617-23-000007
CRM,Salesforce Inc.,79466L302,1271785000.0,6020,0.021995574681691797,2023-08-04,2023-06-30,0001316617-23-000007
ENPH,Enphase Energy,29355A107,1216575000.0,7264,0.021040715426254592,2023-08-04,2023-06-30,0001316617-23-000007
BSX,Boston Scientific,101137107,1189980000.0,22000,0.02058075379071117,2023-08-04,2023-06-30,0001316617-23-000007
UNH,UnitedHealth Group,91324P102,1128062000.0,2347,0.01950987939516397,2023-08-04,2023-06-30,0001316617-23-000007
ZTS,Zoetis Inc.,98978V103,1122465000.0,6518,0.019413079046446673,2023-08-04,2023-06-30,0001316617-23-000007
ROP,Roper Technologies,776696106,1105840000.0,2300,0.01912554897722654,2023-08-04,2023-06-30,0001316617-23-000007
NEM,Newmont,651639106,1002510000.0,23500,0.01733845231241353,2023-08-04,2023-06-30,0001316617-23-000007
GSK,GlaxoSmithKline ADS,37733W204,984092000.0,27612,0.01701991223332202,2023-08-04,2023-06-30,0001316617-23-000007
PLD,Prologis Inc,74340W103,952590000.0,7768,0.01647508382787404,2023-08-04,2023-06-30,0001316617-23-000007
SAP,SAP ADS,803054204,943989000.0,6900,0.016326329173716906,2023-08-04,2023-06-30,0001316617-23-000007
ECL,Ecolab,278865100,893312000.0,4785,0.015449868342566913,2023-08-04,2023-06-30,0001316617-23-000007
JNP,Juniper Networks,48203R104,893062000.0,28505,0.015445544582127511,2023-08-04,2023-06-30,0001316617-23-000007
CRL,Charles River Laboratories,159864107,853405000.0,4059,0.014759675111146293,2023-08-04,2023-06-30,0001316617-23-000007
TYL,Tyler Technologies,902252105,842935000.0,2024,0.0145785960239442,2023-08-04,2023-06-30,0001316617-23-000007
BNTX,BioNTech SE,09075V102,813145000.0,7534,0.014063376729985238,2023-08-04,2023-06-30,0001316617-23-000007
RJF,Raymond James Financial,754730109,762917000.0,7352,0.013194681372584406,2023-08-04,2023-06-30,0001316617-23-000007
